range pdist qdist16 qdist23 qdistAstral16 qdistAstral23
000_003 2.64952380952381 0.338385714285714 0.438738095238096 0.680952 0.514286
000_003 2.53 0.409723809523809 0.266171428571429 0.52381 0.609524
000_003 2.63176470588235 0.296842857142857 0.297852380952383 0.495238 0.52381
000_003 2.32470588235294 0.342533333333334 0.365523809523811 0.6 0.238095
000_003 2.6375 0.400438095238094 0.360938095238095 0.633333 0.609524
000_003 2.474 0.321319047619047 0.408890476190477 0.595238 0.538095
000_003 2.875 0.476385714285714 0.255 0.695238 0.780952
000_003 2.50818181818182 0.438271428571429 0.274833333333334 0.614286 0.638095
000_003 2.81541666666667 0.444361904761904 0.345990476190477 0.661905 0.757143
000_003 2.37052631578947 0.321833333333334 0.379438095238096 0.585714 0.466667
000_003 2.93086956521739 0.477638095238096 0.344142857142858 0.6 0.780952
000_003 2.59 0.331057142857143 0.308457142857143 0.666667 0.633333
000_003 2.63176470588235 0.296842857142857 0.297852380952383 0.495238 0.52381
000_003 2.56041666666667 0.28024761904762 0.368719047619047 0.62381 0.433333
000_003 2.411 0.318619047619048 0.376414285714287 0.638095 0.404762
000_003 2.59619047619048 0.396190476190476 0.424566666666668 0.714286 0.619048
000_003 2.72346153846154 0.455319047619048 0.250099999999999 0.614286 0.742857
000_003 2.9044 0.452633333333333 0.262157142857143 0.666667 0.785714
000_003 2.52684210526316 0.382319047619048 0.372314285714286 0.685714 0.671429
000_003 2.71363636363636 0.400242857142857 0.357304761904762 0.580952 0.62381
000_003 2.65458333333333 0.356971428571429 0.362842857142857 0.452381 0.519048
000_003 2.52526315789474 0.373771428571429 0.272971428571429 0.585714 0.6
000_003 2.875 0.476385714285714 0.255 0.695238 0.780952
000_003 2.78464285714286 0.403909523809525 0.248023809523809 0.733333 0.8
000_003 2.51368421052632 0.431109523809524 0.314990476190477 0.685714 0.666667
000_003 2.84714285714286 0.411252380952382 0.251661904761904 0.661905 0.771429
000_003 2.91153846153846 0.461452380952381 0.365709523809524 0.642857 0.757143
000_003 2.63266666666666 0.348309523809523 0.369638095238096 0.590476 0.52381
000_003 2.81541666666667 0.444361904761904 0.345990476190477 0.661905 0.757143
000_003 2.56315789473684 0.374385714285714 0.408661904761905 0.580952 0.595238
000_003 2.7388 0.387866666666667 0.326985714285715 0.714286 0.77619
000_003 2.55263157894737 0.321299999999999 0.354423809523809 0.552381 0.495238
000_003 2.71416666666667 0.411966666666666 0.258485714285715 0.695238 0.757143
000_003 2.54523809523809 0.391166666666666 0.382819047619048 0.633333 0.619048
000_003 2.47454545454546 0.299157142857143 0.379133333333334 0.566667 0.361905
000_003 2.84714285714286 0.411252380952382 0.251661904761904 0.661905 0.771429
000_003 2.875 0.476385714285714 0.255 0.695238 0.780952
000_003 2.61055555555556 0.343904761904762 0.421947619047619 0.661905 0.580952
000_003 2.71416666666667 0.411966666666666 0.258485714285715 0.695238 0.757143
000_003 2.90375 0.461514285714286 0.365709523809524 0.614286 0.757143
000_003 2.4145 0.344561904761905 0.326942857142857 0.638095 0.509524
000_003 2.875 0.476385714285714 0.255 0.695238 0.780952
000_003 2.4821052631579 0.384166666666667 0.308276190476192 0.495238 0.571429
000_003 2.20666666666667 0.340442857142858 0.393785714285715 0.609524 0.309524
000_003 2.84714285714286 0.411252380952382 0.251661904761904 0.661905 0.771429
000_003 2.40666666666667 0.332647619047619 0.381890476190478 0.509524 0.547619
000_003 2.875 0.476385714285714 0.255 0.695238 0.780952
000_003 2.81541666666667 0.444361904761904 0.345990476190477 0.661905 0.757143
000_003 2.473 0.307733333333333 0.321033333333334 0.495238 0.533333
000_003 2.569375 0.330942857142858 0.35552380952381 0.6 0.457143
001_004 4.14 0.524566666666667 0.423780952380952 0.752381 0.685714
001_004 4.072 0.379209523809523 0.396428571428572 0.695238 0.614286
001_004 3.89 0.476709523809524 0.262647619047619 0.738095 0.514286
001_004 3.98541666666667 0.447238095238096 0.440066666666666 0.780952 0.580952
001_004 4.15315789473684 0.497471428571428 0.382890476190476 0.633333 0.633333
001_004 4.18130434782609 0.490447619047619 0.371190476190475 0.757143 0.561905
001_004 4.16413793103448 0.52567619047619 0.434357142857142 0.766667 0.42381
001_004 3.91416666666667 0.474152380952381 0.295057142857144 0.509524 0.747619
001_004 3.61888888888889 0.438014285714286 0.478328571428572 0.714286 0.72381
001_004 3.72263157894737 0.381804761904762 0.462495238095238 0.633333 0.685714
001_004 4.08352941176471 0.477152380952381 0.449809523809524 0.652381 0.657143
001_004 4.16 0.488476190476191 0.549295238095239 0.671429 0.728571
001_004 3.7695 0.597242857142857 0.522171428571428 0.538095 0.604762
001_004 3.9615 0.461261904761906 0.434033333333333 0.609524 0.652381
001_004 3.90333333333333 0.515185714285714 0.42935238095238 0.72381 0.538095
001_004 3.60558823529412 0.466304761904763 0.277752380952381 0.638095 0.609524
001_004 3.275 0.596695238095238 0.398238095238095 0.795238 0.604762
001_004 3.98571428571429 0.575166666666667 0.302309523809524 0.671429 0.47619
001_004 3.93857142857143 0.480533333333334 0.383728571428571 0.661905 0.738095
001_004 4.05379310344828 0.40894761904762 0.353285714285714 0.680952 0.257143
001_004 4.076 0.590333333333334 0.316157142857143 0.72381 0.771429
001_004 4.1145 0.438090476190476 0.48817142857143 0.561905 0.628571
001_004 4.0248 0.565752380952381 0.364057142857143 0.72381 0.72381
001_004 3.8592 0.5019 0.373252380952384 0.666667 0.766667
001_004 4.08692307692308 0.478404761904761 0.348747619047618 0.647619 0.752381
001_004 3.8848275862069 0.460819047619049 0.389233333333334 0.714286 0.609524
001_004 4.00413793103448 0.498442857142857 0.530099999999999 0.752381 0.757143
001_004 4.03 0.453852380952381 0.4008 0.685714 0.657143
001_004 4.00705882352941 0.540209523809525 0.355319047619048 0.552381 0.590476
001_004 3.91411764705882 0.505290476190476 0.431523809523809 0.671429 0.690476
001_004 4.09818181818182 0.455176190476192 0.558895238095239 0.733333 0.566667
001_004 3.793125 0.583219047619048 0.446261904761904 0.67619 0.619048
001_004 4.06769230769231 0.41312380952381 0.542766666666668 0.690476 0.533333
001_004 3.9668 0.552761904761905 0.240738095238096 0.633333 0.604762
001_004 4.19777777777778 0.481885714285715 0.399004761904761 0.719048 0.519048
001_004 4.1848 0.467814285714286 0.283619047619049 0.67619 0.6
001_004 3.5725 0.594666666666667 0.263600000000001 0.666667 0.714286
001_004 4.0990625 0.387066666666667 0.402071428571429 0.666667 0.77619
001_004 3.85176470588235 0.560061904761904 0.396966666666667 0.728571 0.752381
001_004 3.84363636363636 0.4833 0.4004 0.652381 0.728571
001_004 3.92133333333333 0.517166666666667 0.435119047619048 0.690476 0.742857
001_004 3.99578947368421 0.52874761904762 0.454733333333334 0.638095 0.566667
001_004 3.98173913043478 0.479004761904762 0.4267 0.738095 0.661905
001_004 4.07153846153846 0.566080952380953 0.392809523809524 0.604762 0.661905
001_004 4.04052631578947 0.543599999999999 0.451428571428573 0.7 0.628571
001_004 4.26333333333333 0.46832380952381 0.436285714285714 0.657143 0.690476
001_004 3.670625 0.511676190476191 0.538233333333334 0.642857 0.733333
001_004 4.08708333333333 0.590257142857143 0.468852380952381 0.728571 0.752381
001_004 3.92857142857143 0.489280952380951 0.39017619047619 0.571429 0.728571
001_004 4.07913043478261 0.540485714285715 0.34727619047619 0.642857 0.385714
002_005 4.53818181818182 0.549404761904762 0.317304761904762 0.47619 0.457143
002_005 5.1095652173913 0.419057142857143 0.216600000000001 0.671429 0.557143
002_005 4.05214285714286 0.486266666666666 0.374728571428571 0.704762 0.72381
002_005 4.76391304347826 0.499452380952381 0.326842857142858 0.466667 0.290476
002_005 4.08409090909091 0.55322380952381 0.297552380952381 0.690476 0.661905
002_005 4.24571428571429 0.568738095238095 0.288880952380953 0.761905 0.552381
002_005 5.11777777777778 0.467604761904761 0.350695238095239 0.514286 0.371429
002_005 4.18736842105263 0.631495238095238 0.367095238095238 0.638095 0.566667
002_005 4.24571428571429 0.568738095238095 0.288880952380953 0.761905 0.552381
002_005 4.72882352941176 0.478438095238096 0.396261904761905 0.404762 0.3
002_005 5.15888888888889 0.50447619047619 0.443795238095238 0.671429 0.504762
002_005 5.385 0.434800000000001 0.248028571428572 0.771429 0.785714
002_005 5.20863636363636 0.503280952380953 0.482085714285715 0.742857 0.67619
002_005 4.94086956521739 0.445566666666667 0.561104761904762 0.785714 0.795238
002_005 4.28454545454546 0.500200000000001 0.347252380952381 0.542857 0.557143
002_005 5.1988 0.604276190476191 0.422795238095239 0.671429 0.742857
002_005 4.12941176470588 0.524161904761904 0.546595238095238 0.709524 0.52381
002_005 3.825 0.576933333333334 0.228152380952381 0.7 0.67619
002_005 4.24571428571429 0.568738095238095 0.288880952380953 0.761905 0.552381
002_005 4.24571428571429 0.568738095238095 0.288880952380953 0.761905 0.552381
002_005 5.2504 0.429071428571429 0.280290476190477 0.671429 0.685714
002_005 5.5104 0.384523809523809 0.231090476190476 0.680952 0.67619
002_005 5.29931034482759 0.439147619047619 0.391671428571428 0.771429 0.72381
002_005 5.28352941176471 0.525804761904762 0.394528571428572 0.638095 0.585714
002_005 5.089375 0.580471428571429 0.458028571428571 0.795238 0.695238
002_005 4.7325 0.565128571428572 0.386661904761905 0.619048 0.590476
002_005 5.39375 0.506423809523809 0.383752380952381 0.766667 0.719048
002_005 5.36521739130435 0.554076190476191 0.43685238095238 0.757143 0.547619
002_005 3.84115384615385 0.513719047619048 0.418447619047619 0.728571 0.695238
002_005 4.24571428571429 0.568738095238095 0.288880952380953 0.761905 0.552381
002_005 5.18185185185185 0.374466666666666 0.184838095238096 0.680952 0.614286
002_005 5.01117647058823 0.553619047619047 0.426595238095238 0.642857 0.533333
002_005 5.13653846153846 0.42574761904762 0.415066666666668 0.742857 0.766667
002_005 4.95241379310345 0.4211 0.432252380952381 0.780952 0.685714
002_005 4.87571428571428 0.435204761904762 0.181114285714286 0.547619 0.62381
002_005 5.2556 0.506533333333334 0.310304761904763 0.547619 0.747619
002_005 5.2595 0.460023809523809 0.223033333333334 0.67619 0.733333
002_005 4.24571428571429 0.568738095238095 0.288880952380953 0.761905 0.552381
002_005 5.51782608695652 0.426680952380952 0.275757142857143 0.771429 0.766667
002_005 5.254 0.453328571428572 0.409447619047619 0.638095 0.590476
002_005 5.24521739130435 0.564719047619048 0.47462380952381 0.704762 0.72381
002_005 5.0492 0.532442857142857 0.434200000000001 0.719048 0.590476
002_005 4.332 0.489885714285715 0.566195238095239 0.633333 0.67619
002_005 5.33535714285714 0.436338095238095 0.259252380952381 0.714286 0.719048
002_005 4.47214285714286 0.435485714285714 0.39477619047619 0.752381 0.685714
002_005 4.98607142857143 0.384695238095238 0.250895238095238 0.642857 0.661905
002_005 5.38714285714286 0.508247619047619 0.314271428571429 0.719048 0.714286
002_005 5.37133333333333 0.497123809523811 0.277004761904762 0.5 0.471429
002_005 4.18625 0.541266666666667 0.535247619047619 0.728571 0.709524
002_005 4.154 0.473480952380952 0.24769523809524 0.680952 0.714286
003_006 5.72166666666667 0.529309523809524 0.476033333333333 0.471429 0.733333
003_006 6.08916666666667 0.537776190476191 0.355709523809524 0.72381 0.757143
003_006 6.3921875 0.439695238095238 0.320719047619048 0.466667 0.747619
003_006 4.93055555555556 0.457080952380953 0.264647619047619 0.490476 0.280952
003_006 5.74470588235294 0.482538095238095 0.433995238095239 0.442857 0.261905
003_006 5.952 0.490285714285714 0.441009523809523 0.528571 0.633333
003_006 5.83571428571428 0.274338095238095 0.0932666666666671 0.4 0.490476
003_006 5.47333333333333 0.530090476190477 0.400771428571429 0.47619 0.452381
003_006 5.7228 0.496852380952381 0.458595238095238 0.633333 0.295238
003_006 5.88647058823529 0.515095238095238 0.410947619047619 0.638095 0.409524
003_006 5.8775 0.626795238095238 0.583214285714287 0.647619 0.7
003_006 5.59111111111111 0.27552380952381 0.0932666666666671 0.4 0.490476
003_006 5.292 0.522509523809524 0.510738095238095 0.671429 0.757143
003_006 5.77466666666666 0.56912380952381 0.456261904761904 0.647619 0.552381
003_006 6.0975 0.539842857142858 0.372185714285714 0.72381 0.757143
003_006 6.052 0.190204761904762 0.205490476190477 0.385714 0.409524
003_006 5.995625 0.489857142857144 0.416957142857143 0.738095 0.766667
003_006 5.985 0.231019047619047 0.181485714285714 0.333333 0.371429
003_006 5.7604347826087 0.533619047619048 0.426914285714285 0.571429 0.77619
003_006 5.92045454545455 0.484252380952381 0.452142857142857 0.680952 0.714286
003_006 5.99384615384615 0.389461904761905 0.479152380952381 0.72381 0.652381
003_006 5.67476190476191 0.534176190476191 0.391719047619048 0.485714 0.771429
003_006 5.51733333333334 0.515238095238096 0.40802380952381 0.566667 0.490476
003_006 5.36769230769231 0.432571428571428 0.381133333333334 0.642857 0.704762
003_006 5.97551724137931 0.643061904761904 0.496314285714286 0.628571 0.761905
003_006 5.75814814814815 0.499004761904762 0.275885714285715 0.633333 0.719048
003_006 6.01892857142857 0.327990476190477 0.375371428571429 0.561905 0.62381
003_006 5.6475 0.503557142857143 0.450895238095238 0.666667 0.647619
003_006 5.91428571428571 0.499095238095238 0.3466 0.595238 0.757143
003_006 5.78869565217391 0.228380952380953 0.112923809523811 0.347619 0.314286
003_006 5.83571428571428 0.274338095238095 0.0932666666666671 0.4 0.490476
003_006 5.59111111111111 0.27552380952381 0.0932666666666671 0.4 0.490476
003_006 5.318 0.45897619047619 0.421657142857143 0.609524 0.504762
003_006 5.68074074074074 0.275404761904762 0.0932666666666671 0.4 0.490476
003_006 6.04 0.43592380952381 0.518233333333332 0.714286 0.661905
003_006 5.86666666666667 0.634752380952381 0.444580952380952 0.790476 0.652381
003_006 5.21545454545454 0.377433333333334 0.436023809523811 0.661905 0.62381
003_006 5.9344 0.232557142857144 0.132185714285715 0.471429 0.471429
003_006 6.052 0.190204761904762 0.205490476190477 0.385714 0.409524
003_006 5.775 0.4494 0.506852380952381 0.795238 0.666667
003_006 5.4245 0.46862380952381 0.441380952380952 0.790476 0.738095
003_006 5.50518518518518 0.503676190476191 0.474328571428572 0.7 0.633333
003_006 5.98842105263158 0.226304761904762 0.120904761904763 0.447619 0.414286
003_006 5.97125 0.4549 0.476376190476191 0.57619 0.661905
003_006 6.11925925925926 0.467357142857143 0.396152380952381 0.738095 0.690476
003_006 5.91206896551724 0.566114285714287 0.4736 0.747619 0.719048
003_006 5.725 0.656452380952381 0.445285714285714 0.566667 0.62381
003_006 5.9852 0.165338095238096 0.143176190476192 0.461905 0.509524
003_006 6.25037037037037 0.435066666666667 0.297323809523811 0.671429 0.504762
003_006 5.68074074074074 0.275404761904762 0.0932666666666671 0.4 0.490476
004_007 5.97739130434783 0.311061904761906 0.111857142857144 0.433333 0.566667
004_007 5.66071428571429 0.485633333333332 0.432876190476191 0.609524 0.542857
004_007 7.97 0.414161904761905 0.354561904761905 0.661905 0.752381
004_007 6.254 0.277685714285715 0.0864666666666666 0.342857 0.452381
004_007 6.88230769230769 0.343847619047619 0.300119047619047 0.6 0.709524
004_007 7.234 0.389104761904762 0.487757142857143 0.680952 0.704762
004_007 6.6304 0.409490476190476 0.299247619047619 0.504762 0.633333
004_007 5.69375 0.518133333333334 0.444590476190477 0.742857 0.32381
004_007 5.7975 0.582561904761905 0.5012 0.714286 0.580952
004_007 6.62741935483871 0.501071428571428 0.33797619047619 0.747619 0.666667
004_007 6.00190476190476 0.587676190476191 0.463357142857143 0.652381 0.6
004_007 7.66484848484848 0.515566666666667 0.453657142857143 0.661905 0.695238
004_007 6.28222222222222 0.434042857142857 0.251019047619047 0.595238 0.552381
004_007 6.44346153846154 0.471319047619047 0.428890476190476 0.6 0.685714
004_007 7.60529411764706 0.475209523809524 0.360776190476191 0.709524 0.77619
004_007 6.10933333333333 0.28634761904762 0.0933095238095238 0.385714 0.514286
