"variable","GND","type","data","alpha","model"
"X98",0.05,"real",0.954519064089567,"Hi",1
"X98",0.05,"simulated",0.999711550642282,"Hi",1.00000000000007
"X98",0.15,"real",0.948305471983947,"Hi",0.999999999967349
"X98",0.15,"simulated",0.999721515666385,"Hi",0.999999999842951
"X98",0.25,"real",0.954240318552377,"Hi",0.999999951065025
"X98",0.25,"simulated",0.999785181562868,"Hi",0.999999828830538
"X98",0.35,"real",0.951890644259562,"Hi",0.999996700844546
"X98",0.35,"simulated",0.999614953074099,"Hi",0.999990990910554
"X98",0.45,"real",0.90879639039613,"Hi",0.999947308985863
"X98",0.45,"simulated",0.999535602569968,"Hi",0.999881633399718
"X98",0.55,"simulated",0.99815658342073,"Hi",0.999280705935393
"X98",0.65,"real",0.874715165122163,"Hi",0.998400389665841
"X98",0.65,"simulated",0.994855061398059,"Hi",0.997288299154223
"X98",0.75,"real",0.846810904930686,"Hi",0.995136415199672
"X98",0.75,"simulated",0.988059572618711,"Hi",0.99255562337787
"X98",0.85,"simulated",0.976534334632637,"Hi",0.983623528692143
"X98",0.95,"real",0.820289321553514,"Hi",0.976660426494903
"X98",0.95,"simulated",0.960173807665598,"Hi",0.969318376427721
"X98",1.05,"real",0.800196603846401,"Hi",0.958951711325454
"X98",1.05,"simulated",0.938384387863261,"Hi",0.949009320484204
"X98",1.15,"real",0.788049494191023,"Hi",0.934764994001605
"X98",1.15,"simulated",0.911208884479766,"Hi",0.922671231715956
"X98",1.25,"real",0.766164959575197,"Hi",0.904234429919375
"X98",1.25,"simulated",0.873388978179262,"Hi",0.890799312302792
"X98",1.35,"real",0.753124679206616,"Hi",0.868006985942273
"X98",1.35,"simulated",0.826652774356412,"Hi",0.854251416265185
"X98",1.45,"real",0.688702083162743,"Hi",0.827080634344134
"X98",1.45,"simulated",0.782953738384307,"Hi",0.814080285947941
"X98",1.55,"real",0.744538723567399,"Hi",0.782634795244403
"X98",1.55,"simulated",0.737303966060842,"Hi",0.771391568213917
"X98",1.65,"real",0.648288764957044,"Hi",0.735886173517963
"X98",1.65,"simulated",0.695322014169974,"Hi",0.727241088501321
"X98",1.75,"real",0.608371298195618,"Hi",0.687983483453663
"X98",1.75,"simulated",0.652624217367426,"Hi",0.682570955701511
"X98",1.85,"real",0.632754843267356,"Hi",0.639941495511968
"X98",1.85,"simulated",0.604209343383775,"Hi",0.638177525666161
"X98",1.95,"real",0.574005630999081,"Hi",0.592608118570634
"X98",1.95,"simulated",0.56169690500611,"Hi",0.594702464598596
