"variable","GND","type","data","alpha","model"
"X98",0.05,"real",0.952687044384981,"Hi",1
"X98",0.05,"simulated",0.999741608489634,"Hi",1.00000000000007
"X98",0.15,"real",0.940343880078684,"Hi",0.999999999967349
"X98",0.15,"simulated",0.999694520185335,"Hi",0.999999999842951
"X98",0.25,"real",0.935167101320798,"Hi",0.999999951065025
"X98",0.25,"simulated",0.999670082603882,"Hi",0.999999828830538
"X98",0.35,"real",0.937377821230775,"Hi",0.999996700844546
"X98",0.35,"simulated",0.999528143832426,"Hi",0.999990990910554
"X98",0.45,"real",0.90879639039613,"Hi",0.999947308985863
"X98",0.45,"simulated",0.99918718227623,"Hi",0.999881633399718
"X98",0.55,"real",0.883970888585975,"Hi",0.999625801626563
"X98",0.55,"simulated",0.997922877522336,"Hi",0.999280705935393
"X98",0.65,"real",0.840818874298999,"Hi",0.998400389665841
"X98",0.65,"simulated",0.99409759206259,"Hi",0.997288299154223
"X98",0.75,"real",0.838354699294916,"Hi",0.995136415199672
"X98",0.75,"simulated",0.986353122626004,"Hi",0.99255562337787
"X98",0.85,"simulated",0.974295358838996,"Hi",0.983623528692143
"X98",0.95,"real",0.820289321553514,"Hi",0.976660426494903
"X98",0.95,"simulated",0.955152874356609,"Hi",0.969318376427721
"X98",1.05,"real",0.791916854417134,"Hi",0.958951711325454
"X98",1.05,"simulated",0.929063229183779,"Hi",0.949009320484204
"X98",1.15,"real",0.793080752430453,"Hi",0.934764994001605
"X98",1.15,"simulated",0.89293015394056,"Hi",0.922671231715956
"X98",1.25,"real",0.782000618108895,"Hi",0.904234429919375
"X98",1.25,"simulated",0.854642664174738,"Hi",0.890799312302792
"X98",1.35,"real",0.726277625053953,"Hi",0.868006985942273
"X98",1.35,"simulated",0.813780487884433,"Hi",0.854251416265185
"X98",1.45,"real",0.688450641823867,"Hi",0.827080634344134
"X98",1.45,"simulated",0.775037613840725,"Hi",0.814080285947941
"X98",1.55,"real",0.674035323035071,"Hi",0.782634795244403
"X98",1.55,"simulated",0.732695882529822,"Hi",0.771391568213917
"X98",1.65,"real",0.646613919047397,"Hi",0.735886173517963
"X98",1.65,"simulated",0.689620020130399,"Hi",0.727241088501321
"X98",1.75,"real",0.637784511004797,"Hi",0.687983483453663
"X98",1.75,"simulated",0.648708863039965,"Hi",0.682570955701511
"X98",1.85,"real",0.608425046345233,"Hi",0.639941495511968
"X98",1.85,"simulated",0.592363887275334,"Hi",0.638177525666161
"X98",1.95,"real",0.583766237746903,"Hi",0.592608118570634
"X98",1.95,"simulated",0.554840455626893,"Hi",0.594702464598596
"X98",10.05,"real",0.0104802415489898,"Hi",0.00087795272386915
"X98",10.05,"simulated",0.0026801388790051,"Hi",0.00262654868709245
"X98",10.15,"real",0.0133452820440934,"Hi",0.000827750381321691
"X98",10.15,"simulated",0.00230116287663212,"Hi",0.0025045977803386
"X98",10.25,"real",0.0108181077616275,"Hi",0.000780746082269847
"X98",10.25,"simulated",0.00227930074210045,"Hi",0.00238914402102063
"X98",10.35,"real",0.0100116846339033,"Hi",0.000736715908847388
"X98",10.35,"simulated",0.00229207890478713,"Hi",0.0022797982217056
