"","gene","pvalue","ratio","p","dist"
"1","accA",0.001,1.84013622931284,0.05,"exp"
"2","accB",0,1.9599085935237,0.05,"exp"
"3","accC",0,2.13617085038175,0.05,"exp"
"4","acpP",0,5.70007467560162,0.05,"exp"
"5","ahcY",0,2.25409305522969,0.05,"exp"
"6","alaS",0,2.80481012530918,0.05,"exp"
"7","algC",0,2.84091232409749,0.05,"exp"
"8","aroB",0,2.14836331380832,0.05,"exp"
"9","aroC",0,2.66978580219395,0.05,"exp"
"10","aroE",0.014,1.54912747046247,0.05,"exp"
"11","aspS",0.001,1.73533549472246,0.05,"exp"
"12","atpA",0.001,1.62787421945049,0.05,"exp"
"13","atpB",0,2.18460964543878,0.05,"exp"
"14","atpC",0,2.25726950478848,0.05,"exp"
"15","atpD",0,2.43899538655159,0.05,"exp"
"16","atpE",0,12.7762858931772,0.05,"exp"
"17","atpF",0,2.29969027125318,0.05,"exp"
"18","atpG",0,2.66621554408978,0.05,"exp"
"19","atpH",0,1.9400972453677,0.05,"exp"
"20","carA",0,2.49857553115829,0.05,"exp"
"21","carB",0,1.871697182434,0.05,"exp"
"22","cca",0,3.24387068616107,0.05,"exp"
"23","clpX",0,2.25986270407361,0.05,"exp"
"24","coaBC",0,2.60705634068893,0.05,"exp"
"25","coaD",0,3.3460644501725,0.05,"exp"
"26","coaE",0.003,1.60150721884359,0.05,"exp"
"27","ctaA",0.056,1.36986494261102,0.05,"exp"
"28","ctaE",0,2.63034368537334,0.05,"exp"
"29","cysS",0.061,1.32933886452785,0.05,"exp"
"30","dapB",0,2.27510829147973,0.05,"exp"
"31","dapE",0,2.61449325035038,0.05,"exp"
"32","dapF",0,2.28846759798744,0.05,"exp"
"33","def",0,1.86426152840642,0.05,"exp"
"34","dnaA",0,2.80141247468561,0.05,"exp"
"35","dnaG",0,2.50563246700749,0.05,"exp"
"36","dnaK",0,3.90109396397068,0.05,"exp"
"37","dnaN",0,2.63457408630282,0.05,"exp"
"38","dnaX",0.007,1.72080689951391,0.05,"exp"
"39","dsbD",0,2.29639330795727,0.05,"exp"
"40","dxs",0,3.61315099053431,0.05,"exp"
"41","efp",0,2.7171691495611,0.05,"exp"
"42","eno",0,2.17387186350749,0.05,"exp"
"43","erpA",0.025,1.36705338635353,0.05,"exp"
"44","fabI",0,2.47878091104427,0.05,"exp"
"45","fmt",0,1.75529916678425,0.05,"exp"
"46","folD",0,2.86480011458063,0.05,"exp"
"47","ftsH",0,2.09677376254076,0.05,"exp"
"48","ftsZ",0.002,1.85673591163368,0.05,"exp"
"49","fumC",0,2.2009754361118,0.05,"exp"
"50","gatB",0.001,1.99217199799552,0.05,"exp"
"51","gcvT",0,3.28360213900861,0.05,"exp"
"52","glmM",0,1.97711463975629,0.05,"exp"
"53","glmU",0,2.41181448054014,0.05,"exp"
"54","gloB",0,2.03790925567151,0.05,"exp"
"55","gltB",0,2.59583596555886,0.05,"exp"
"56","gltX",0,2.06091493415951,0.05,"exp"
"57","gmk",0,2.66136239041653,0.05,"exp"
"58","grpE",0,3.74365493552896,0.05,"exp"
"59","guaA",0,3.1883549405665,0.05,"exp"
"60","gyrA",0,2.3146927696499,0.05,"exp"
"61","gyrB",0,2.10739394897944,0.05,"exp"
"62","hemC",0.001,2.11065968787438,0.05,"exp"
"63","hemE",0.008,1.5423823850071,0.05,"exp"
"64","hemH",0,2.40474043441081,0.05,"exp"
"65","hisF",0,3.95607720545786,0.05,"exp"
"66","hisH",0,3.16160835728879,0.05,"exp"
"67","icd",0,3.00137707635285,0.05,"exp"
"68","ileS",0,2.49365231030945,0.05,"exp"
"69","ilvC",0,2.46923097065589,0.05,"exp"
"70","ilvE",0,1.803733656557,0.05,"exp"
"71","ilvH",0,2.17780942194535,0.05,"exp"
"72","infB",0,2.25287770210661,0.05,"exp"
"73","infC",0,3.0157581618002,0.05,"exp"
"74","lepA",0.024,1.44851961107891,0.05,"exp"
"75","leuA",0,2.32453656574509,0.05,"exp"
"76","leuB",0,2.17035847319319,0.05,"exp"
"77","leuS",0,3.19999467804236,0.05,"exp"
"78","lgt",0.182,1.21967614257136,0.05,"exp"
"79","ligA",0.017,1.57203089721113,0.05,"exp"
"80","lipA",0,2.40237391139336,0.05,"exp"
"81","lnt",0,2.21154993301484,0.05,"exp"
"82","lptD",0,2.5415729537835,0.05,"exp"
"83","lspA",0,2.39700767037134,0.05,"exp"
"84","lysA",0,2.39666989433561,0.05,"exp"
"85","lysS",0,2.38876154207299,0.05,"exp"
"86","map",0,2.37304350459044,0.05,"exp"
"87","metC",0,2.09914941286544,0.05,"exp"
"88","metG",0,1.8728800083535,0.05,"exp"
"89","metK",0,2.47115581341529,0.05,"exp"
"90","miaA",0,2.30130792797664,0.05,"exp"
"91","miaB",0,2.09228371197934,0.05,"exp"
"92","mnmA",0,1.72337543860094,0.05,"exp"
"93","mnmE",0.026,1.44174393862097,0.05,"exp"
"94","mnmG",0,1.97095900639294,0.05,"exp"
"95","mrdA",0,1.95620160323447,0.05,"exp"
"96","mrdB",0,2.93433185762937,0.05,"exp"
"97","mreB",0,2.25484031051883,0.05,"exp"
"98","msrA",0,2.45249129694197,0.05,"exp"
"99","msrB",0,2.49095434400943,0.05,"exp"
"100","nadD",0,2.16801190919355,0.05,"exp"
"101","nadE",0,3.26450626177907,0.05,"exp"
"102","ndk",0,2.16268298689813,0.05,"exp"
"103","nfuA",0,2.36608469503274,0.05,"exp"
"104","nth",0,2.02934850648468,0.05,"exp"
"105","nusA",0,2.05401701913064,0.05,"exp"
"106","pdxH",0,2.88730274356581,0.05,"exp"
"107","pepA",0,2.21343544952997,0.05,"exp"
"108","petA",0.013,1.51890226342101,0.05,"exp"
"109","pgk",0.213,1.18896131738773,0.05,"exp"
"110","pgsA",0,1.92088457530137,0.05,"exp"
"111","pheA",0.001,1.86556317157155,0.05,"exp"
"112","pheS",0.002,1.61230296617154,0.05,"exp"
"113","pheT",0,2.11409003249343,0.05,"exp"
"114","phrA",0,2.7060763059209,0.05,"exp"
"115","phrB",0,2.33532813117807,0.05,"exp"
"116","pnp",0,2.56616179014834,0.05,"exp"
"117","pntA",0,3.79668272157561,0.05,"exp"
"118","pntB",0,2.28921186220519,0.05,"exp"
"119","polA",0.001,1.83563201409088,0.05,"exp"
"120","prfA",0.053,1.31238664493419,0.05,"exp"
"121","prfB",0.001,1.83745188391178,0.05,"exp"
"122","priA",0,2.07605341456898,0.05,"exp"
"123","prmC",0.145,1.22755322745065,0.05,"exp"
"124","proC",0,2.80448743269242,0.05,"exp"
"125","proS",0,2.14241325862175,0.05,"exp"
"126","prs",0,2.064196725634,0.05,"exp"
"127","pth",0.07,1.34641584913325,0.05,"exp"
"128","purA",0,2.16134405652774,0.05,"exp"
"129","purB",0,3.4749842144331,0.05,"exp"
"130","purC",0,2.14256639044017,0.05,"exp"
"131","purD",0,1.92863007474152,0.05,"exp"
"132","purE",0.001,1.85295074783048,0.05,"exp"
"133","purF",0,4.97372580356015,0.05,"exp"
"134","purH",0,2.29029072221477,0.05,"exp"
"135","purL",0,3.12309912800236,0.05,"exp"
"136","purM",0,2.15501995061177,0.05,"exp"
"137","purN",0,2.97358479966302,0.05,"exp"
"138","pyrB",0,1.82225169457841,0.05,"exp"
"139","pyrC",0,1.95045657948616,0.05,"exp"
"140","pyrD",0,2.32892265385757,0.05,"exp"
"141","pyrE",0.025,1.45478137691378,0.05,"exp"
