qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00005,99.95395,0.08734454770907484,1380,100.0,1382,891,1382,891,701,1126,849,1289,884,1352,891,1368,891,1375,891,1380,891,1380,891,1380,891,1380,891,1380,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00005,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00005,0.9995581095679056,0.999997709140225,0.999997709140225,0.04,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00010,99.90508550724638,0.12011902457716582,1380,99.935,1382,891,1382,891,486,830,755,1145,846,1293,881,1344,886,1366,891,1380,891,1380,891,1380,891,1380,891,1380,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00010,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00010,0.9990976697530936,0.9999961819003752,0.9999961819003752,0.09,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00020,99.81427101449275,0.1762023250350956,1380,99.837,1382,891,1382,891,263,489,535,824,689,1069,805,1227,858,1314,891,1378,891,1380,891,1380,891,1380,891,1380,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00020,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00020,0.9981941898148198,0.9999862548413504,0.9999862548413504,0.18,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00030,99.72639057971014,0.2249854438568237,1380,99.7535,1382,891,1382,891,155,323,350,555,529,839,677,1041,764,1186,890,1372,891,1378,891,1380,891,1380,891,1380,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00030,AG-900-I13_a22_gnd00030,AG-900-I13_a22_gnd00000,0.997306913580246,0.9999900729409752,0.9999900729409752,0.27,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00040,99.63694561276287,0.2551016344898972,1379,99.66,1381,891,1382,891,71,204,208,364,355,608,519,824,657,1027,882,1351,891,1376,891,1379,891,1379,891,1379,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00040,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00040,0.99642795524691,0.9999877820812004,0.9999877820812004,0.36,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00050,99.54076086956522,0.29066439744356326,1380,99.56200000000001,1382,891,1382,891,27,129,119,227,224,416,381,622,513,819,863,1313,889,1372,891,1380,891,1380,891,1380,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00050,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00050,0.9955024691357964,0.9999839639815754,0.9999839639815754,0.45,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00060,99.44902608695651,0.31890786603689975,1380,99.474,1382,891,1382,891,15,94,77,157,154,286,282,463,387,640,828,1264,890,1369,891,1377,891,1379,891,1380,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00060,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00060,0.9946380555555476,0.9999633462436008,0.9999633462436008,0.54,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00070,99.35915323166304,0.35226173155827545,1377,99.384,1381,891,1382,891,17,97,46,129,87,198,188,320,280,467,776,1190,881,1350,891,1373,891,1377,891,1377,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00070,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00070,0.9937415817901164,0.999961055383826,0.999961055383826,0.63,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00080,99.26938461538461,0.38756318589381533,1378,99.2995,1380,891,1382,891,9,78,29,100,62,168,121,250,212,379,685,1065,866,1333,890,1373,891,1378,891,1378,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00080,AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00080,0.9928201774691304,0.9999641098635258,0.9999641098635258,0.72,"(0.99, 1.0]"
AG-900-I13_a22_gnd00000,AG-900-I13_a22_gnd00090,99.1719296591733,0.4156621836619984,1379,99.199,1381,891,1382,891,8,64,17,74,42,121,95,187,143,276,604,948,846,1293,888,1369,891,1377,891,1378,AG-900-I13_a22_gnd00000_AG-900-I13_a22_gnd00090,AG-900-I13_a22_gnd00090,AG-900-I13_a22_gnd00000,0.9919362808641936,0.999955710044351,0.999955710044351,0.81,"(0.99, 1.0]"
