qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00000_p11_s5_c76.51,100.0,0.0,1262,100.0,1264,809,1432,928,806.0,1262,806.0,1262,806.0,1262,806.0,1262,806.0,1262,806.0,1262,806.0,1262,806.0,1262,806.0,1262,806.0,1262,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00000_p11_s5_c76.51,AG-891-J04_gnd00000_p11_s5_c76.51,AG-891-J04_gnd00000_p0_s0_c97.59,1.0,0.9999966649574572,0.8844120552626816,0.0,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00000_p14_s2_c81.93,100.0,0.0,1252,100.0,1253,791,1432,928,790.0,1252,790.0,1252,790.0,1252,790.0,1252,790.0,1252,790.0,1252,790.0,1252,790.0,1252,790.0,1252,790.0,1252,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00000_p14_s2_c81.93,AG-891-J04_gnd00000_p14_s2_c81.93,AG-891-J04_gnd00000_p0_s0_c97.59,1.0,1.0,0.853644227945212,0.0,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00000_p1_s4_c96.21,100.0,0.0,1417,100.0,1418,909,1432,928,909.0,1417,909.0,1417,909.0,1417,909.0,1417,909.0,1417,909.0,1417,909.0,1417,909.0,1417,909.0,1417,909.0,1417,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00000_p1_s4_c96.21,AG-891-J04_gnd00000_p1_s4_c96.21,AG-891-J04_gnd00000_p0_s0_c97.59,1.0,0.9999887619909557,0.981613469759494,0.0,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00000_p20_s3_c75.5,100.0,0.0,1143,100.0,1144,725,1432,928,723.0,1143,723.0,1143,723.0,1143,723.0,1143,723.0,1143,723.0,1143,723.0,1143,723.0,1143,723.0,1143,723.0,1143,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00000_p20_s3_c75.5,AG-891-J04_gnd00000_p20_s3_c75.5,AG-891-J04_gnd00000_p0_s0_c97.59,1.0,1.0,0.7936208211082796,0.0,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00000_p4_s1_c96.03,100.0,0.0,1370,100.0,1371,874,1432,928,874.0,1370,874.0,1370,874.0,1370,874.0,1370,874.0,1370,874.0,1370,874.0,1370,874.0,1370,874.0,1370,874.0,1370,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00000_p4_s1_c96.03,AG-891-J04_gnd00000_p4_s1_c96.03,AG-891-J04_gnd00000_p0_s0_c97.59,1.0,0.9999660106201362,0.9546948656257694,0.0,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00005_p0_s0_c97.59,99.95291474493362,0.08603424915224511,1431,100.0,1432,928,1432,928,721.0,1154,881.0,1337,910.0,1396,925.0,1417,926.0,1426,928.0,1431,928.0,1431,928.0,1431,928.0,1431,928.0,1431,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00005_p0_s0_c97.59,AG-891-J04_gnd00005_p0_s0_c97.59,AG-891-J04_gnd00000_p0_s0_c97.59,0.999538137254902,0.9999985166770003,0.9999985166770003,0.05,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00005_p10_s1_c89.76,99.95451171875,0.08356165563574354,1280,100.0,1281,826,1432,928,646.0,1039,789.0,1203,812.0,1252,822.0,1268,823.0,1276,825.0,1280,825.0,1280,825.0,1280,825.0,1280,825.0,1280,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00005_p10_s1_c89.76,AG-891-J04_gnd00005_p10_s1_c89.76,AG-891-J04_gnd00000_p0_s0_c97.59,0.9995493926788686,0.999974458141838,0.8946773920808352,0.05,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00005_p11_s4_c83.71,99.95332134292566,0.08411386007142312,1251,100.0,1253,832,1432,928,648.0,1010,789.0,1171,815.0,1224,827.0,1240,829.0,1248,830.0,1251,830.0,1251,830.0,1251,830.0,1251,830.0,1251,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00005_p11_s4_c83.71,AG-891-J04_gnd00005_p11_s4_c83.71,AG-891-J04_gnd00000_p0_s0_c97.59,0.9995436424957844,0.9999708225619958,0.8820320635099576,0.05,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00005_p14_s3_c85.54,99.95152198697068,0.0925385023344587,1228,100.0,1228,798,1432,928,612.0,984,755.0,1146,779.0,1194,793.0,1213,795.0,1223,796.0,1227,796.0,1228,796.0,1228,796.0,1228,796.0,1228,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00005_p14_s3_c85.54,AG-891-J04_gnd00005_p14_s3_c85.54,AG-891-J04_gnd00000_p0_s0_c97.59,0.9995435447437012,0.999993964523469,0.8534432376787775,0.05,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00005_p17_s5_c86.75,99.95223044925125,0.08748102763533563,1202,100.0,1203,781,1432,928,596.0,964,735.0,1119,762.0,1172,774.0,1190,775.0,1198,777.0,1202,777.0,1202,777.0,1202,777.0,1202,777.0,1202,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00005_p17_s5_c86.75,AG-891-J04_gnd00005_p17_s5_c86.75,AG-891-J04_gnd00000_p0_s0_c97.59,0.9995412556458898,0.999978547946234,0.8249931025480522,0.05,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00005_p5_s2_c93.98,99.95232989690722,0.08671267407584363,1358,100.0,1359,870,1432,928,671.0,1093,822.0,1266,849.0,1323,864.0,1344,866.0,1354,867.0,1358,867.0,1358,867.0,1358,867.0,1358,867.0,1358,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00005_p5_s2_c93.98,AG-891-J04_gnd00005_p5_s2_c93.98,AG-891-J04_gnd00000_p0_s0_c97.59,0.9995342474389284,0.9999984391754476,0.9444191455466192,0.05,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p0_s0_c97.59,99.9083319357093,0.13099940567456778,1431,99.962,1432,928,1432,928,543.0,903,798.0,1210,880.0,1337,917.0,1391,925.0,1413,928.0,1429,928.0,1431,928.0,1431,928.0,1431,928.0,1431,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00010_p0_s0_c97.59,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p0_s0_c97.59,0.999092556561086,0.9999962916925011,0.9999962916925011,0.09,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p12_s5_c88.55,99.90727977617905,0.13867081042046642,1251,100.0,1252,807,1432,928,473.0,795,686.0,1053,762.0,1166,792.0,1210,800.0,1233,803.0,1248,803.0,1251,803.0,1251,803.0,1251,803.0,1251,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00010_p12_s5_c88.55,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p12_s5_c88.55,0.9990978103448276,0.8734072819292692,0.9999949428116282,0.09,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p13_s3_c83.13,99.90818476499189,0.13365976425978382,1234,99.9625,1234,804,1432,928,467.0,780,690.0,1046,762.0,1156,791.0,1197,799.0,1216,802.0,1232,802.0,1234,802.0,1234,802.0,1234,802.0,1234,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00010_p13_s3_c83.13,AG-891-J04_gnd00010_p13_s3_c83.13,AG-891-J04_gnd00000_p0_s0_c97.59,0.9990888058419244,0.9999539664312987,0.863052204069645,0.09,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p18_s2_c81.93,99.90641687552214,0.13447518134307085,1197,99.962,1198,762,1432,928,439.0,751,650.0,1003,719.0,1113,751.0,1162,759.0,1182,761.0,1195,761.0,1197,761.0,1197,761.0,1197,761.0,1197,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00010_p18_s2_c81.93,AG-891-J04_gnd00010_p18_s2_c81.93,AG-891-J04_gnd00000_p0_s0_c97.59,0.9990751139471286,0.9999990960942232,0.8145987166289408,0.09,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p19_s1_c75.3,99.90488260135135,0.1368251059599525,1184,99.956,1185,757,1432,928,439.0,745,647.0,992,715.0,1098,746.0,1146,753.0,1166,756.0,1182,756.0,1184,756.0,1184,756.0,1184,756.0,1184,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00010_p19_s1_c75.3,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p19_s1_c75.3,0.9990655617977529,0.8034337444115806,0.9999688839306552,0.09,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p7_s4_c89.7,99.9086057185854,0.1322861578459144,1329,99.963,1331,853,1432,928,492.0,840,732.0,1129,806.0,1242,837.0,1291,845.0,1311,848.0,1327,848.0,1329,848.0,1329,848.0,1329,848.0,1329,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00010_p7_s4_c89.7,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00010_p7_s4_c89.7,0.9990985574572128,0.9236125738324024,0.9999960118464114,0.09,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p0_s0_c97.59,99.8195960866527,0.1868759667525783,1431,99.854,1432,928,1432,928,297.0,555,579.0,888,730.0,1132,833.0,1259,875.0,1342,928.0,1425,928.0,1431,928.0,1431,928.0,1431,928.0,1431,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00020_p0_s0_c97.59,AG-891-J04_gnd00020_p0_s0_c97.59,AG-891-J04_gnd00000_p0_s0_c97.59,0.9982112971342384,0.999988133416004,0.999988133416004,0.18,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p18_s3_c78.71,99.81869822485207,0.18935167968863278,1183,99.856,1185,764,1432,928,243.0,463,469.0,731,600.0,939,678.0,1036,715.0,1105,760.0,1178,760.0,1183,760.0,1183,760.0,1183,760.0,1183,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00020_p18_s3_c78.71,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p18_s3_c78.71,0.998228603145236,0.8134001916453315,0.9999791936734294,0.18,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p20_s1_c75.9,99.82234434782609,0.1894438326856031,1150,99.86,1152,739,1432,928,241.0,458,464.0,721,584.0,916,666.0,1015,700.0,1081,738.0,1144,738.0,1150,738.0,1150,738.0,1150,738.0,1150,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00020_p20_s1_c75.9,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p20_s1_c75.9,0.9982614895635672,0.793340473061371,0.999989802133579,0.17,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p20_s5_c87.35,99.82254999999999,0.18627903996077685,1140,99.8555,1141,725,1432,928,233.0,452,451.0,711,577.0,912,653.0,1008,688.0,1077,722.0,1135,722.0,1140,722.0,1140,722.0,1140,722.0,1140,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00020_p20_s5_c87.35,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p20_s5_c87.35,0.9982213946869072,0.7936171128007808,0.9999072694277504,0.18,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p7_s4_c89.7,99.82166591422123,0.18578829054882925,1329,99.855,1331,853,1432,928,270.0,518,534.0,831,671.0,1055,766.0,1172,805.0,1252,848.0,1323,848.0,1329,848.0,1329,848.0,1329,848.0,1329,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00020_p7_s4_c89.7,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p7_s4_c89.7,0.9982357049714752,0.9236051572174048,0.9999936189542584,0.18,"(0.99, 1.0]"
AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p8_s2_c90.36,99.8194688449848,0.18853372124805623,1316,99.854,1317,846,1432,928,270.0,516,517.0,808,663.0,1040,759.0,1158,796.0,1234,844.0,1310,844.0,1316,844.0,1316,844.0,1316,844.0,1316,AG-891-J04_gnd00000_p0_s0_c97.59_AG-891-J04_gnd00020_p8_s2_c90.36,AG-891-J04_gnd00000_p0_s0_c97.59,AG-891-J04_gnd00020_p8_s2_c90.36,0.9982021134868422,0.915294840112614,0.9999742134497812,0.18,"(0.99, 1.0]"
