qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p0_s5_c87.91,100.0,0.0,958,100.0,961,578,961,578,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00000_p0_s5_c87.91,AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p0_s5_c87.91,1.0,0.9999376207230524,0.9999376207230524,0.0,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p10_s4_c77.15,100.0,0.0,851,100.0,854,514,961,578,510.0,851,510.0,851,510.0,851,510.0,851,510.0,851,510.0,851,510.0,851,510.0,851,510.0,851,510.0,851,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00000_p10_s4_c77.15,AG-894-P05_gnd00000_p10_s4_c77.15,AG-894-P05_gnd00000_p0_s0_c87.91,1.0,0.999986617825786,0.8904532346938218,0.0,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p13_s3_c73.23,100.0,0.0,822,100.0,825,494,961,578,493.0,822,493.0,822,493.0,822,493.0,822,493.0,822,493.0,822,493.0,822,493.0,822,493.0,822,493.0,822,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00000_p13_s3_c73.23,AG-894-P05_gnd00000_p13_s3_c73.23,AG-894-P05_gnd00000_p0_s0_c87.91,1.0,0.9999672952272416,0.8612334681236423,0.0,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p17_s2_c74.73,100.0,0.0,801,100.0,803,480,961,578,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00000_p17_s2_c74.73,AG-894-P05_gnd00000_p17_s2_c74.73,AG-894-P05_gnd00000_p0_s0_c87.91,1.0,1.0,0.8213971863662977,0.0,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p19_s1_c65.7,100.0,0.0,788,100.0,792,472,961,578,470.0,788,470.0,788,470.0,788,470.0,788,470.0,788,470.0,788,470.0,788,470.0,788,470.0,788,470.0,788,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00000_p19_s1_c65.7,AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00000_p19_s1_c65.7,1.0,0.8016579755188697,0.9999418940904938,0.0,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p0_s0_c87.91,99.95807620041754,0.08240599240017782,958,100.0,961,578,961,578,463.0,789,549.0,899,568.0,937,577.0,952,578.0,956,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00005_p0_s0_c87.91,AG-894-P05_gnd00005_p0_s0_c87.91,AG-894-P05_gnd00000_p0_s0_c87.91,0.999549232480534,0.9999321488566536,0.9999321488566536,0.05,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p0_s5_c87.91,99.95807620041754,0.08240599240017782,958,100.0,961,578,961,578,463.0,789,549.0,899,568.0,937,577.0,952,578.0,956,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00005_p0_s5_c87.91,AG-894-P05_gnd00005_p0_s5_c87.91,AG-894-P05_gnd00000_p0_s0_c87.91,0.999549232480534,0.9999321488566536,0.9999321488566536,0.05,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p10_s1_c84.62,99.95790856481482,0.08387151361231185,864,100.0,867,519,961,578,413.0,710,490.0,810,507.0,844,515.0,857,516.0,862,516.0,864,516.0,864,516.0,864,516.0,864,516.0,864,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00005_p10_s1_c84.62,AG-894-P05_gnd00005_p10_s1_c84.62,AG-894-P05_gnd00000_p0_s0_c87.91,0.9995555555555556,0.9999987837597876,0.8898578956296203,0.04,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p10_s3_c76.32,99.95549071925754,0.08695126210200332,862,100.0,866,510,961,578,400.0,703,479.0,805,495.0,841,504.0,854,505.0,858,505.0,862,505.0,862,505.0,862,505.0,862,505.0,862,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00005_p10_s3_c76.32,AG-894-P05_gnd00005_p10_s3_c76.32,AG-894-P05_gnd00000_p0_s0_c87.91,0.9995261388550548,0.9999890564468472,0.8889725476462766,0.05,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p14_s4_c69.02,99.95805548705302,0.08353818157934327,811,100.0,813,495,961,578,395.0,669,466.0,759,484.0,793,491.0,805,492.0,809,492.0,811,492.0,811,492.0,811,492.0,811,492.0,811,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00005_p14_s4_c69.02,AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p14_s4_c69.02,0.9995466579634464,0.8494842765919027,0.9999617880638648,0.05,"(0.99, 1.0]"
AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p17_s2_c74.73,99.9588102372035,0.08192112941768176,801,100.0,803,480,961,578,383.0,663,456.0,754,470.0,784,478.0,796,478.0,799,478.0,801,478.0,801,478.0,801,478.0,801,478.0,801,AG-894-P05_gnd00000_p0_s0_c87.91_AG-894-P05_gnd00005_p17_s2_c74.73,AG-894-P05_gnd00000_p0_s0_c87.91,AG-894-P05_gnd00005_p17_s2_c74.73,0.9995492847503376,0.8213939032464583,0.9999973635644608,0.05,"(0.99, 1.0]"
