qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00000_p10_s2_c86.75,100.0,0.0,1153,100.0,1154,748,1282,829,747.0,1153,747.0,1153,747.0,1153,747.0,1153,747.0,1153,747.0,1153,747.0,1153,747.0,1153,747.0,1153,747.0,1153,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00000_p10_s2_c86.75,AG-912-G22_gnd00000_p10_s2_c86.75,AG-912-G22_gnd00000_p0_s0_c98.8,1.0,1.0,0.8938672588813242,0.0,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00000_p13_s1_c90.47,100.0,0.0,1112,100.0,1112,708,1282,829,706.0,1112,706.0,1112,706.0,1112,706.0,1112,706.0,1112,706.0,1112,706.0,1112,706.0,1112,706.0,1112,706.0,1112,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00000_p13_s1_c90.47,AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00000_p13_s1_c90.47,1.0,0.8641374540105496,0.9999593306207504,0.0,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00000_p14_s4_c90.36,100.0,0.0,1094,100.0,1096,702,1282,829,699.0,1094,699.0,1094,699.0,1094,699.0,1094,699.0,1094,699.0,1094,699.0,1094,699.0,1094,699.0,1094,699.0,1094,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00000_p14_s4_c90.36,AG-912-G22_gnd00000_p14_s4_c90.36,AG-912-G22_gnd00000_p0_s0_c98.8,1.0,0.9999980395962352,0.8521968361111649,0.0,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00000_p17_s5_c65.41,100.0,0.0,1055,100.0,1057,685,1282,829,683.0,1055,683.0,1055,683.0,1055,683.0,1055,683.0,1055,683.0,1055,683.0,1055,683.0,1055,683.0,1055,683.0,1055,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00000_p17_s5_c65.41,AG-912-G22_gnd00000_p17_s5_c65.41,AG-912-G22_gnd00000_p0_s0_c98.8,1.0,0.9999492531587372,0.8245345029348157,0.0,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00000_p5_s3_c94.58,100.0,0.0,1212,100.0,1213,775,1282,829,773.0,1212,773.0,1212,773.0,1212,773.0,1212,773.0,1212,773.0,1212,773.0,1212,773.0,1212,773.0,1212,773.0,1212,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00000_p5_s3_c94.58,AG-912-G22_gnd00000_p5_s3_c94.58,AG-912-G22_gnd00000_p0_s0_c98.8,1.0,0.9999636418778172,0.9440518906750625,0.0,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p0_s0_c98.8,99.95474570982839,0.08189252062759814,1282,100.0,1282,828,1282,829,643.0,1034,796.0,1205,819.0,1257,825.0,1272,827.0,1281,828.0,1282,828.0,1282,828.0,1282,828.0,1282,828.0,1282,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00005_p0_s0_c98.8,AG-912-G22_gnd00005_p0_s0_c98.8,AG-912-G22_gnd00000_p0_s0_c98.8,0.9995584812286687,0.9999949450569818,0.9999949450569818,0.04,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p13_s5_c89.16,99.9551396797153,0.08132995727520602,1124,100.0,1124,724,1282,829,559.0,906,692.0,1057,712.0,1103,718.0,1117,720.0,1123,721.0,1124,721.0,1124,721.0,1124,721.0,1124,721.0,1124,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00005_p13_s5_c89.16,AG-912-G22_gnd00005_p13_s5_c89.16,AG-912-G22_gnd00000_p0_s0_c98.8,0.9995599123661152,0.9999961279968096,0.8651796147627926,0.04,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p17_s1_c82.53,99.9547632805219,0.0801866518536387,1073,100.0,1073,691,1282,829,534.0,865,664.0,1010,683.0,1054,687.0,1066,688.0,1072,689.0,1073,689.0,1073,689.0,1073,689.0,1073,689.0,1073,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00005_p17_s1_c82.53,AG-912-G22_gnd00005_p17_s1_c82.53,AG-912-G22_gnd00000_p0_s0_c98.8,0.9995542115971516,0.9999969548619182,0.8223035880828033,0.04,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p1_s4_c97.59,99.95432466509062,0.08321336377097312,1269,100.0,1270,818,1282,829,631.0,1020,784.0,1190,805.0,1241,811.0,1259,813.0,1268,814.0,1269,814.0,1269,814.0,1269,814.0,1269,814.0,1269,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00005_p1_s4_c97.59,AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p1_s4_c97.59,0.9995585069444444,0.9817305934418854,0.9999251047257216,0.04,"(0.99, 1.0]"
AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p20_s2_c61.65,99.95441372549018,0.08153342335801825,1020,100.0,1020,664,1282,829,515.0,821,636.0,957,657.0,1004,662.0,1016,662.0,1018,663.0,1020,663.0,1020,663.0,1020,663.0,1020,663.0,1020,AG-912-G22_gnd00000_p0_s0_c98.8_AG-912-G22_gnd00005_p20_s2_c61.65,AG-912-G22_gnd00000_p0_s0_c98.8,AG-912-G22_gnd00005_p20_s2_c61.65,0.999555553168636,0.7921963474666732,0.9999810439317413,0.04,"(0.99, 1.0]"
