qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00005,99.95807620041754,0.08240599240017782,958,100.0,961,578,961,578,463.0,789,549.0,899,568.0,937,577.0,952,578.0,956,578.0,958,578.0,958,578.0,958,578.0,958,578.0,958,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00005,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00005,0.9995492324805362,0.9999321488566536,0.9999321488566536,0.05,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00010,99.91079227557412,0.12598986401170384,958,100.0,961,578,961,578,329.0,603,493.0,803,543.0,904,569.0,936,576.0,948,578.0,957,578.0,958,578.0,958,578.0,958,578.0,958,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00010,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00010,0.9990873637374894,0.999934337603213,0.999934337603213,0.09,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00020,99.82366179540709,0.17970735650768369,958,99.845,961,578,961,578,189.0,377,358.0,587,453.0,753,528.0,862,548.0,909,578.0,955,578.0,958,578.0,958,578.0,958,578.0,958,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00020,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00020,0.998202825361514,0.9999255826169748,0.9999255826169748,0.18,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00030,99.73449060542798,0.24008612486265413,958,99.771,961,578,961,578,120.0,271,242.0,417,346.0,590,433.0,720,483.0,811,574.0,948,578.0,957,578.0,958,578.0,958,578.0,958,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00030,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00030,0.9972779532814215,0.999919016377296,0.999919016377296,0.27,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00040,99.64393736951985,0.2865571300086608,958,99.683,961,578,961,578,73.0,188,177.0,304,250.0,448,356.0,591,416.0,703,560.0,928,578.0,957,578.0,958,578.0,958,578.0,958,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00040,AG-894-P05_a5_gnd00040,AG-894-P05_a5_gnd00000,0.996387652947716,0.9999069782712184,0.9999069782712184,0.36,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00050,99.552245302714,0.3428234316392951,958,99.597,961,578,961,578,50.0,146,132.0,234,206.0,362,282.0,477,356.0,598,538.0,892,575.0,951,578.0,958,578.0,958,578.0,958,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00050,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00050,0.995453414905446,0.9999233938704152,0.9999233938704152,0.45,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00060,99.48388610240335,0.3797403299431287,957,99.525,961,578,961,578,35.0,136,97.0,204,157.0,306,220.0,393,280.0,498,513.0,862,568.0,941,578.0,955,578.0,957,578.0,957,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00060,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00060,0.9945832703003288,0.9999058838979388,0.9999058838979388,0.54,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00070,99.37687565308255,0.4393000449587391,957,99.462,960,578,961,578,18.0,89,71.0,145,108.0,217,170.0,311,241.0,427,477.0,792,559.0,922,574.0,948,576.0,953,578.0,956,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00070,AG-894-P05_a5_gnd00070,AG-894-P05_a5_gnd00000,0.9936495884315864,0.9999157332574568,0.9999157332574568,0.64,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00080,99.27888308977035,0.48719754425978257,958,99.334,962,578,961,578,15.0,83,50.0,120,86.0,187,132.0,257,177.0,333,433.0,732,544.0,892,568.0,942,577.0,956,578.0,957,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00080,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00080,0.9927051612903168,0.9998971289117004,0.9998971289117004,0.73,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00090,99.19700940438871,0.541349386128089,957,99.275,960,579,961,578,15.0,78,42.0,107,63.0,164,105.0,220,143.0,284,392.0,659,526.0,862,565.0,927,576.0,951,578.0,955,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd00090,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd00090,0.9918252502780835,0.9998850908056228,0.9998850908056228,0.82,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd001,99.1035632183908,0.5707009668303503,957,99.179,962,578,961,578,12.0,65,24.0,79,45.0,114,93.0,186,130.0,246,343.0,595,492.0,823,561.0,924,573.0,945,578.0,953,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd001,AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd001,0.9909591434927658,0.9998818076857836,0.9998818076857836,0.9,"(0.99, 1.0]"
AG-894-P05_a5_gnd00000,AG-894-P05_a5_gnd002,98.21996764091858,0.999559683623373,958,98.3445,962,578,961,578,0.0,42,1.0,43,3.0,46,8.0,53,18.0,71,103.0,207,242.0,417,358.0,609,446.0,754,511.0,852,AG-894-P05_a5_gnd00000_AG-894-P05_a5_gnd002,AG-894-P05_a5_gnd002,AG-894-P05_a5_gnd00000,0.98179213570634,0.9998216171553956,0.9998216171553956,1.82,"(0.98, 0.99]"
