qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00000_p10_s5_c86.26,100.0,0.0,1097,100.0,1101,693,1223,768,688.0,1097,688.0,1097,688.0,1097,688.0,1097,688.0,1097,688.0,1097,688.0,1097,688.0,1097,688.0,1097,688.0,1097,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00000_p10_s5_c86.26,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00000_p10_s5_c86.26,1.0,0.8924992144438486,1.0,0.0,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00000_p14_s2_c84.36,100.0,0.0,1048,100.0,1057,663,1223,768,660.0,1048,660.0,1048,660.0,1048,660.0,1048,660.0,1048,660.0,1048,660.0,1048,660.0,1048,660.0,1048,660.0,1048,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00000_p14_s2_c84.36,AG-390-D15_gnd00000_p14_s2_c84.36,AG-390-D15_gnd00000_p0_s0_c97.63,1.0,1.0,0.8526090759263519,0.0,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00000_p16_s1_c81.13,100.0,0.0,1018,100.0,1023,639,1223,768,637.0,1018,637.0,1018,637.0,1018,637.0,1018,637.0,1018,637.0,1018,637.0,1018,637.0,1018,637.0,1018,637.0,1018,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00000_p16_s1_c81.13,AG-390-D15_gnd00000_p16_s1_c81.13,AG-390-D15_gnd00000_p0_s0_c97.63,1.0,0.999986146470174,0.8293968987765019,0.0,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00000_p20_s3_c79.46,100.0,0.0,963,100.0,966,604,1223,768,599.0,963,599.0,963,599.0,963,599.0,963,599.0,963,599.0,963,599.0,963,599.0,963,599.0,963,599.0,963,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00000_p20_s3_c79.46,AG-390-D15_gnd00000_p20_s3_c79.46,AG-390-D15_gnd00000_p0_s0_c97.63,1.0,0.9999820954380296,0.7925433488236353,0.0,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00000_p5_s4_c94.0,100.0,0.0,1151,100.0,1156,717,1223,768,715.0,1151,715.0,1151,715.0,1151,715.0,1151,715.0,1151,715.0,1151,715.0,1151,715.0,1151,715.0,1151,715.0,1151,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00000_p5_s4_c94.0,AG-390-D15_gnd00000_p5_s4_c94.0,AG-390-D15_gnd00000_p0_s0_c97.63,1.0,0.999967007339453,0.9394150448997934,0.0,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p0_s0_c97.63,99.95362131147542,0.08921279574852316,1220,100.0,1224,769,1223,768,612.0,998,734.0,1134,754.0,1189,766.0,1210,766.0,1212,768.0,1220,768.0,1220,768.0,1220,768.0,1220,768.0,1220,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00005_p0_s0_c97.63,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p0_s0_c97.63,0.9995603435804702,0.9999937334552028,0.9999937334552028,0.04,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p0_s2_c97.63,99.95362131147542,0.08921279574852316,1220,100.0,1224,769,1223,768,612.0,998,734.0,1134,754.0,1189,766.0,1210,766.0,1212,768.0,1220,768.0,1220,768.0,1220,768.0,1220,768.0,1220,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00005_p0_s2_c97.63,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p0_s2_c97.63,0.9995603435804702,0.9999937334552028,0.9999937334552028,0.04,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p13_s5_c86.97,99.95420647002854,0.08968901932048597,1051,100.0,1055,655,1223,768,520.0,863,626.0,979,643.0,1024,653.0,1042,653.0,1044,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00005_p13_s5_c86.97,AG-390-D15_gnd00005_p13_s5_c86.97,AG-390-D15_gnd00000_p0_s0_c97.63,0.9995700411099692,0.999966044701636,0.8608227257142295,0.04,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p18_s1_c80.33,99.95554416243654,0.08504875651464852,985,100.0,991,604,1223,768,479.0,808,578.0,922,593.0,965,601.0,979,601.0,980,601.0,985,601.0,985,601.0,985,601.0,985,601.0,985,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00005_p18_s1_c80.33,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p18_s1_c80.33,0.999571231964484,0.8118657920957385,0.9999628769490968,0.04,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p19_s3_c78.54,99.95550152905199,0.08605232892831136,981,100.0,984,609,1223,768,482.0,805,581.0,917,597.0,958,605.0,974,605.0,975,606.0,981,606.0,981,606.0,981,606.0,981,606.0,981,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00005_p19_s3_c78.54,AG-390-D15_gnd00005_p19_s3_c78.54,AG-390-D15_gnd00000_p0_s0_c97.63,0.9995763436123348,0.9999889477971302,0.8018232064477374,0.04,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p9_s4_c89.3,99.95342920747997,0.08943922702900692,1123,100.0,1128,699,1223,768,550.0,915,664.0,1041,684.0,1095,694.0,1114,694.0,1116,695.0,1123,695.0,1123,695.0,1123,695.0,1123,695.0,1123,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00005_p9_s4_c89.3,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00005_p9_s4_c89.3,0.9995650301810868,0.897345044013525,0.9999517846565,0.04,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p0_s0_c97.16,99.90726721311475,0.12940873583097906,1220,100.0,1229,769,1223,768,448.0,758,667.0,1014,729.0,1143,755.0,1182,762.0,1203,768.0,1220,768.0,1220,768.0,1220,768.0,1220,768.0,1220,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00010_p0_s0_c97.16,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p0_s0_c97.16,0.9991238698010853,0.9999910477931468,0.9999910477931468,0.09,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p15_s2_c83.18,99.90689694656488,0.13170940223929442,1048,100.0,1057,649,1223,768,374.0,651,560.0,867,611.0,977,635.0,1013,641.0,1033,646.0,1048,646.0,1048,646.0,1048,646.0,1048,646.0,1048,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00010_p15_s2_c83.18,AG-390-D15_gnd00010_p15_s2_c83.18,AG-390-D15_gnd00000_p0_s0_c97.63,0.9991240441176472,0.999994733044353,0.8443846834902506,0.09,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p17_s3_c78.1,99.90658160237389,0.13232329153620423,1011,100.0,1017,638,1223,768,367.0,626,545.0,837,602.0,947,622.0,976,629.0,995,634.0,1011,634.0,1011,634.0,1011,634.0,1011,634.0,1011,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00010_p17_s3_c78.1,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p17_s3_c78.1,0.999119344978166,0.8241034588641619,0.9999956857779512,0.09,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p17_s5_c75.34,99.90611660079053,0.13162478609158879,1012,100.0,1020,644,1223,768,374.0,627,555.0,837,607.0,948,629.0,979,635.0,997,641.0,1012,641.0,1012,641.0,1012,641.0,1012,641.0,1012,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00010_p17_s5_c75.34,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p17_s5_c75.34,0.9991239430449068,0.8224222344171174,0.9999913717885528,0.09,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p20_s4_c68.5,99.90476635514018,0.13315099532889668,963,100.0,971,616,1223,768,351.0,591,524.0,794,576.0,898,599.0,930,606.0,949,611.0,963,611.0,963,611.0,963,611.0,963,611.0,963,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00010_p20_s4_c68.5,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p20_s4_c68.5,0.9991353135689852,0.789596282327538,0.9999608067098912,0.09,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p4_s1_c96.52,99.90713225255972,0.1301006392979404,1172,100.0,1180,738,1223,768,426.0,728,637.0,973,694.0,1097,719.0,1135,726.0,1155,732.0,1172,732.0,1172,732.0,1172,732.0,1172,732.0,1172,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00010_p4_s1_c96.52,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00010_p4_s1_c96.52,0.999125493358634,0.9508326895204572,0.9999598994315044,0.09,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p0_s0_c97.63,99.81568360655739,0.18914097479037376,1220,99.854,1229,769,1223,768,246.0,471,463.0,736,587.0,937,679.0,1061,726.0,1144,767.0,1215,768.0,1220,768.0,1220,768.0,1220,768.0,1220,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00020_p0_s0_c97.63,AG-390-D15_gnd00020_p0_s0_c97.63,AG-390-D15_gnd00000_p0_s0_c97.63,0.9982167450271248,0.9999910477931468,0.9999910477931468,0.18,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p0_s5_c97.63,99.81568360655739,0.18914097479037376,1220,99.854,1229,769,1223,768,246.0,471,463.0,736,587.0,937,679.0,1061,726.0,1144,767.0,1215,768.0,1220,768.0,1220,768.0,1220,768.0,1220,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00020_p0_s5_c97.63,AG-390-D15_gnd00020_p0_s5_c97.63,AG-390-D15_gnd00000_p0_s0_c97.63,0.9982167450271248,0.9999910477931468,0.9999910477931468,0.18,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p11_s1_c85.49,99.81570074349443,0.19038998322147863,1076,99.8555,1083,680,1223,768,216.0,417,410.0,652,514.0,821,598.0,932,641.0,1008,678.0,1072,679.0,1076,679.0,1076,679.0,1076,679.0,1076,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00020_p11_s1_c85.49,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p11_s1_c85.49,0.9982167313585292,0.8837905076169852,0.9999939644263288,0.18,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p14_s4_c85.07,99.81495260663506,0.19076426641766545,1055,99.853,1062,655,1223,768,200.0,403,389.0,635,493.0,810,574.0,920,616.0,990,649.0,1050,650.0,1055,650.0,1055,650.0,1055,650.0,1055,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00020_p14_s4_c85.07,AG-390-D15_gnd00020_p14_s4_c85.07,AG-390-D15_gnd00000_p0_s0_c97.63,0.9982129540709812,0.9999125263332184,0.8518911089367195,0.18,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p15_s2_c83.57,99.81439790076335,0.19538891512117124,1048,99.8555,1057,650,1223,768,209.0,410,390.0,632,491.0,800,571.0,907,612.0,979,645.0,1043,646.0,1048,646.0,1048,646.0,1048,646.0,1048,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00020_p15_s2_c83.57,AG-390-D15_gnd00020_p15_s2_c83.57,AG-390-D15_gnd00000_p0_s0_c97.63,0.998239600840336,0.9999926262620944,0.8443846834902506,0.18,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p17_s3_c78.57,99.81440769990128,0.18921020218949386,1013,99.853,1021,638,1223,768,208.0,398,376.0,603,483.0,772,560.0,879,600.0,948,633.0,1010,634.0,1013,634.0,1013,634.0,1013,634.0,1013,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00020_p17_s3_c78.57,AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00020_p17_s3_c78.57,0.9981971397379914,0.8241034588641619,0.9999935286669268,0.18,"(0.99, 1.0]"
AG-390-D15_gnd00000_p0_s0_c97.63,AG-390-D15_gnd00030_p0_s0_c97.39,99.73208196721312,0.23690693804857543,1220,99.768,1225,769,1223,768,133.0,322,316.0,537,436.0,735,574.0,916,655.0,1052,761.0,1205,767.0,1218,767.0,1220,767.0,1220,767.0,1220,AG-390-D15_gnd00000_p0_s0_c97.63_AG-390-D15_gnd00030_p0_s0_c97.39,AG-390-D15_gnd00030_p0_s0_c97.39,AG-390-D15_gnd00000_p0_s0_c97.63,0.9973324864376132,0.9999776194828668,0.9999776194828668,0.27,"(0.99, 1.0]"
