qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00000_p10_s1_c87.35,100.0,0.0,1280,100.0,1281,823,1436,930,820.0,1280,820.0,1280,820.0,1280,820.0,1280,820.0,1280,820.0,1280,820.0,1280,820.0,1280,820.0,1280,820.0,1280,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00000_p10_s1_c87.35,AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00000_p10_s1_c87.35,1.0,0.8950970439291278,0.9999563484938584,0.0,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00000_p11_s5_c73.49,100.0,0.0,1276,100.0,1276,832,1436,930,826.0,1276,826.0,1276,826.0,1276,826.0,1276,826.0,1276,826.0,1276,826.0,1276,826.0,1276,826.0,1276,826.0,1276,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00000_p11_s5_c73.49,AG-904-K03_gnd00000_p11_s5_c73.49,AG-904-K03_gnd00000_p0_s0_c97.59,1.0,0.9999774982186088,0.8838097964202051,0.0,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00000_p13_s4_c89.16,100.0,0.0,1254,100.0,1254,809,1436,930,805.0,1254,805.0,1254,805.0,1254,805.0,1254,805.0,1254,805.0,1254,805.0,1254,805.0,1254,805.0,1254,805.0,1254,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00000_p13_s4_c89.16,AG-904-K03_gnd00000_p13_s4_c89.16,AG-904-K03_gnd00000_p0_s0_c97.59,1.0,0.9999676016434492,0.8656987363117745,0.0,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00000_p14_s3_c86.75,100.0,0.0,1229,100.0,1232,775,1436,930,773.0,1229,773.0,1229,773.0,1229,773.0,1229,773.0,1229,773.0,1229,773.0,1229,773.0,1229,773.0,1229,773.0,1229,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00000_p14_s3_c86.75,AG-904-K03_gnd00000_p14_s3_c86.75,AG-904-K03_gnd00000_p0_s0_c97.59,1.0,0.9999465309818464,0.8547681779856775,0.0,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00000_p20_s2_c70.9,100.0,0.0,1144,100.0,1145,740,1436,930,739.0,1144,739.0,1144,739.0,1144,739.0,1144,739.0,1144,739.0,1144,739.0,1144,739.0,1144,739.0,1144,739.0,1144,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00000_p20_s2_c70.9,AG-904-K03_gnd00000_p20_s2_c70.9,AG-904-K03_gnd00000_p0_s0_c97.59,1.0,0.9999379081151312,0.7952077584717389,0.0,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p0_s0_c97.59,99.9541713091922,0.08888199065824226,1436,100.0,1436,930,1436,930,728.0,1169,887.0,1345,916.0,1405,926.0,1422,930.0,1431,930.0,1435,930.0,1436,930.0,1436,930.0,1436,930.0,1436,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00005_p0_s0_c97.59,AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p0_s0_c97.59,0.9995554347826088,0.9999770117158676,0.9999770117158676,0.04,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p0_s2_c97.59,99.9541713091922,0.08888199065824226,1436,100.0,1436,930,1436,930,728.0,1169,887.0,1345,916.0,1405,926.0,1422,930.0,1431,930.0,1435,930.0,1436,930.0,1436,930.0,1436,930.0,1436,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00005_p0_s2_c97.59,AG-904-K03_gnd00005_p0_s2_c97.59,AG-904-K03_gnd00000_p0_s0_c97.59,0.9995554347826088,0.9999770117158676,0.9999770117158676,0.04,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p10_s3_c85.54,99.95435990712075,0.08893007045325073,1292,100.0,1292,829,1436,930,646.0,1053,790.0,1213,815.0,1264,824.0,1280,828.0,1288,828.0,1291,828.0,1292,828.0,1292,828.0,1292,828.0,1292,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00005_p10_s3_c85.54,AG-904-K03_gnd00005_p10_s3_c85.54,AG-904-K03_gnd00000_p0_s0_c97.59,0.999554793729373,0.9999703380718264,0.8936005807878752,0.04,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p1_s4_c97.59,99.95470268361582,0.08856189797938947,1416,100.0,1416,908,1436,930,712.0,1156,865.0,1327,894.0,1386,904.0,1403,907.0,1411,907.0,1415,907.0,1416,907.0,1416,907.0,1416,907.0,1416,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00005_p1_s4_c97.59,AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p1_s4_c97.59,0.9995567579908676,0.9837754623055172,0.999952057949953,0.04,"(0.99, 1.0]"
AG-904-K03_gnd00000_p0_s0_c97.59,AG-904-K03_gnd00005_p20_s5_c80.72,99.95411475409837,0.08816413752100617,1159,100.0,1160,748,1436,930,571.0,938,710.0,1089,732.0,1138,739.0,1148,743.0,1155,743.0,1158,743.0,1159,743.0,1159,743.0,1159,743.0,1159,AG-904-K03_gnd00000_p0_s0_c97.59_AG-904-K03_gnd00005_p20_s5_c80.72,AG-904-K03_gnd00005_p20_s5_c80.72,AG-904-K03_gnd00000_p0_s0_c97.59,0.99955293135436,0.9999443897095012,0.7950846599179986,0.04,"(0.99, 1.0]"
