qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p14_s4_c79.52,100.0,0.0,1194,100.0,1195,752,1382,891,748.0,1194,748.0,1194,748.0,1194,748.0,1194,748.0,1194,748.0,1194,748.0,1194,748.0,1194,748.0,1194,748.0,1194,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00000_p14_s4_c79.52,AG-900-I13_gnd00000_p14_s4_c79.52,AG-900-I13_gnd00000_p0_s0_c98.8,1.0,1.0,0.8525488105856048,0.0,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p16_s2_c90.36,100.0,0.0,1158,100.0,1160,739,1382,891,735.0,1158,735.0,1158,735.0,1158,735.0,1158,735.0,1158,735.0,1158,735.0,1158,735.0,1158,735.0,1158,735.0,1158,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00000_p16_s2_c90.36,AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p16_s2_c90.36,1.0,0.8343555658729092,1.0,0.0,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p1_s1_c98.8,100.0,0.0,1359,100.0,1361,873,1382,891,873.0,1359,873.0,1359,873.0,1359,873.0,1359,873.0,1359,873.0,1359,873.0,1359,873.0,1359,873.0,1359,873.0,1359,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00000_p1_s1_c98.8,AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p1_s1_c98.8,1.0,0.9849711962564296,0.9999799463333028,0.0,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p7_s5_c87.95,100.0,0.0,1280,100.0,1282,826,1382,891,823.0,1280,823.0,1280,823.0,1280,823.0,1280,823.0,1280,823.0,1280,823.0,1280,823.0,1280,823.0,1280,823.0,1280,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00000_p7_s5_c87.95,AG-900-I13_gnd00000_p7_s5_c87.95,AG-900-I13_gnd00000_p0_s0_c98.8,1.0,1.0,0.9231034735543148,0.0,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00000_p9_s3_c82.42,100.0,0.0,1256,100.0,1258,813,1382,891,810.0,1256,810.0,1256,810.0,1256,810.0,1256,810.0,1256,810.0,1256,810.0,1256,810.0,1256,810.0,1256,810.0,1256,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00000_p9_s3_c82.42,AG-900-I13_gnd00000_p9_s3_c82.42,AG-900-I13_gnd00000_p0_s0_c98.8,1.0,0.9999958043378112,0.902846927804318,0.0,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p0_s0_c98.8,99.95480579710146,0.08456143718992175,1380,100.0,1382,891,1382,891,705.0,1125,849.0,1300,879.0,1352,887.0,1368,889.0,1375,891.0,1380,891.0,1380,891.0,1380,891.0,1380,891.0,1380,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00005_p0_s0_c98.8,AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p0_s0_c98.8,0.9995527546296298,0.99999541828045,0.99999541828045,0.04,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p10_s1_c85.54,99.95440128410914,0.08529024086672944,1246,100.0,1247,796,1382,891,627.0,1018,753.0,1169,782.0,1221,789.0,1234,791.0,1241,793.0,1246,793.0,1246,793.0,1246,793.0,1246,793.0,1246,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00005_p10_s1_c85.54,AG-900-I13_gnd00005_p10_s1_c85.54,AG-900-I13_gnd00000_p0_s0_c98.8,0.9995531942078364,0.9999796453369588,0.893475020465014,0.04,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p17_s5_c80.72,99.95452173913043,0.08635154410991645,1150,100.0,1153,731,1382,891,578.0,938,694.0,1079,717.0,1123,725.0,1139,727.0,1146,728.0,1150,728.0,1150,728.0,1150,728.0,1150,728.0,1150,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00005_p17_s5_c80.72,AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p17_s5_c80.72,0.9995551495327102,0.8235908157904382,0.9999760740673256,0.04,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p6_s3_c93.65,99.9547359073359,0.08582809496816654,1295,100.0,1298,829,1382,891,651.0,1053,786.0,1218,815.0,1267,823.0,1283,825.0,1290,827.0,1295,827.0,1295,827.0,1295,827.0,1295,827.0,1295,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00005_p6_s3_c93.65,AG-900-I13_gnd00005_p6_s3_c93.65,AG-900-I13_gnd00000_p0_s0_c98.8,0.999555020374898,0.9999951266066968,0.9332474006377752,0.04,"(0.99, 1.0]"
AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p8_s2_c90.36,99.95481195908734,0.08718662243978864,1271,100.0,1275,810,1382,891,637.0,1035,768.0,1196,796.0,1242,804.0,1258,806.0,1265,808.0,1271,808.0,1271,808.0,1271,808.0,1271,808.0,1271,AG-900-I13_gnd00000_p0_s0_c98.8_AG-900-I13_gnd00005_p8_s2_c90.36,AG-900-I13_gnd00000_p0_s0_c98.8,AG-900-I13_gnd00005_p8_s2_c90.36,0.99955382996633,0.9146013293095654,0.9999908733763944,0.04,"(0.99, 1.0]"
