qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00005,99.95480227272728,0.08272393227674943,1320,100.0,1321,838,1320,839,639,1067,800,1245,825,1292,833,1311,836,1317,838,1320,838,1320,838,1320,838,1320,838,1320,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00005,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00005,0.999545234113716,0.999971197682648,0.999971197682648,0.05,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00010,99.90647348484849,0.1393801317661062,1320,100.0,1321,838,1320,839,503,846,724,1111,780,1218,822,1272,830,1293,838,1317,838,1320,838,1320,838,1320,838,1320,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00010,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00010,0.9990994983277648,0.9999662601425304,0.9999662601425304,0.09,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00020,99.81765833333334,0.18843712772602877,1320,99.856,1321,839,1320,839,280,532,504,809,644,1029,740,1156,782,1231,839,1318,839,1320,839,1320,839,1320,839,1320,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00020,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00020,0.9982028177257568,0.999959676755707,0.999959676755707,0.18,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00030,99.71516590909091,0.2609381782680883,1320,99.7695,1321,838,1320,839,171,344,368,578,506,807,625,971,687,1082,827,1296,838,1319,838,1320,838,1320,838,1320,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00030,AG-894-C14_a5_gnd00030,AG-894-C14_a5_gnd00000,0.99727864548495,0.9999563850622952,0.9999563850622952,0.27,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00040,99.62986136363635,0.2918230632589632,1320,99.677,1321,839,1320,839,91,231,228,388,368,620,496,797,593,954,815,1278,839,1316,839,1319,839,1320,839,1320,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00040,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00040,0.9963833277591932,0.9999522704455308,0.9999522704455308,0.36,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00050,99.54232221379833,0.3609388639012245,1319,99.606,1321,838,1320,839,66,198,171,321,274,494,404,671,501,817,766,1204,829,1301,838,1318,838,1319,838,1319,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00050,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00050,0.9955121822742422,0.999948155828766,0.999948155828766,0.45,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00060,99.44338741470811,0.39173922436001796,1319,99.49,1325,840,1320,839,45,147,116,228,202,375,293,498,391,641,739,1151,827,1289,838,1314,839,1319,839,1319,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00060,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00060,0.9945888879598604,0.9999448641353544,0.9999448641353544,0.54,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00070,99.35257240333587,0.45633054870116674,1319,99.421,1321,838,1320,839,28,116,95,189,167,303,261,427,335,551,668,1060,805,1262,831,1304,835,1315,837,1318,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00070,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00070,0.993684715719058,0.9999251139748844,0.9999251139748844,0.63,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00080,99.25305984848485,0.49907405108864444,1320,99.323,1322,838,1320,839,12,92,47,134,92,219,189,340,248,430,627,997,779,1220,822,1291,834,1310,838,1318,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00080,AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00080,0.9927924163879548,0.9999251139748844,0.9999251139748844,0.72,"(0.99, 1.0]"
AG-894-C14_a5_gnd00000,AG-894-C14_a5_gnd00090,99.17480681818182,0.527456357484942,1320,99.242,1323,838,1320,839,15,87,46,121,91,198,146,279,205,380,563,890,754,1185,819,1286,833,1309,835,1317,AG-894-C14_a5_gnd00000_AG-894-C14_a5_gnd00090,AG-894-C14_a5_gnd00090,AG-894-C14_a5_gnd00000,0.9919131605351112,0.9999234681281786,0.9999234681281786,0.81,"(0.99, 1.0]"
