qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00005,99.95458741258741,0.08245635261380888,1430,100.0,1431,928,1432,928,718.0,1136,899.0,1346,921.0,1411,927.0,1423,928.0,1426,928.0,1430,928.0,1430,928.0,1430,928.0,1430,928,1430,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00005,AG-891-J04_a22_gnd00005,AG-891-J04_a22_gnd00000,0.9995493665158414,0.9999992583385002,0.9999992583385002,0.05,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00010,99.90889587700909,0.12408914426430605,1431,99.954,1432,928,1432,928,548.0,909,789.0,1198,872.0,1335,915.0,1399,922.0,1413,928.0,1430,928.0,1431,928.0,1431,928.0,1431,928,1431,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00010,AG-891-J04_a22_gnd00010,AG-891-J04_a22_gnd00000,0.9990907767722544,0.9999955500310016,0.9999955500310016,0.09,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00020,99.81389657582109,0.1818420868245693,1431,99.84,1432,928,1432,928,270.0,508,555.0,853,723.0,1135,830.0,1273,883.0,1350,928.0,1427,928.0,1430,928.0,1431,928.0,1431,928,1431,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00020,AG-891-J04_a22_gnd00020,AG-891-J04_a22_gnd00000,0.9981747888386192,0.999994066708002,0.999994066708002,0.18,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00030,99.7250104895105,0.22739146757519732,1430,99.7445,1431,928,1432,928,160.0,336,365.0,575,538.0,849,701.0,1078,800.0,1230,925.0,1417,928.0,1430,928.0,1430,928.0,1430,928,1430,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00030,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00030,0.9972689291101072,0.9999807168010064,0.9999807168010064,0.27,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00040,99.63401468531468,0.25170201690199284,1430,99.656,1432,930,1432,928,74.0,211,215.0,370,368.0,615,539.0,845,676.0,1052,919.0,1406,928.0,1428,928.0,1430,928.0,1430,928,1430,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00040,AG-891-J04_a22_gnd00040,AG-891-J04_a22_gnd00000,0.9963779110105552,0.9999829417855056,0.9999829417855056,0.36,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00050,99.53874423480084,0.3049213728640978,1431,99.564,1431,928,1432,928,43.0,155,151.0,274,236.0,419,406.0,640,546.0,852,901.0,1364,926.0,1419,928.0,1430,928.0,1431,928,1431,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00050,AG-891-J04_a22_gnd00050,AG-891-J04_a22_gnd00000,0.9954884917043682,0.9999792334780068,0.9999792334780068,0.45,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00060,99.44826923076923,0.3118297356043924,1430,99.461,1431,929,1432,928,25.0,112,75.0,166,142.0,294,255.0,454,371.0,645,856.0,1317,926.0,1422,927.0,1428,928.0,1430,928,1430,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00060,AG-891-J04_a22_gnd00060,AG-891-J04_a22_gnd00000,0.9945763348416196,0.9999681085555104,0.9999681085555104,0.54,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00070,99.35083846153846,0.36042240369669587,1430,99.3775,1431,929,1432,928,10.0,86,60.0,139,89.0,200,181.0,320,292.0,499,790.0,1209,918.0,1403,928.0,1427,928.0,1428,928,1430,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00070,AG-891-J04_a22_gnd00070,AG-891-J04_a22_gnd00000,0.9936703695324208,0.9999458587105176,0.9999458587105176,0.63,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00080,99.26026470588235,0.3984871495644865,1428,99.291,1422,925,1432,928,10.0,82,31.0,105,56.0,161,124.0,250,203.0,383,714.0,1103,911.0,1380,923.0,1416,924.0,1425,925,1428,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00080,AG-891-J04_a22_gnd00080,AG-891-J04_a22_gnd00000,0.9927750377073844,0.9999555003100143,0.9999555003100143,0.72,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00090,99.17450350140055,0.4125655650533132,1428,99.186,1430,929,1432,928,4.0,68,22.0,87,36.0,129,83.0,196,141.0,293,616.0,973,875.0,1343,926.0,1420,928.0,1426,928,1427,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd00090,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd00090,0.9918564630467532,0.9999436337260184,0.9999436337260184,0.81,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd001,99.08533962264151,0.46079545159665647,1431,99.112,1424,926,1432,928,5.0,65,18.0,79,28.0,104,66.0,162,105.0,243,524.0,840,833.0,1292,914.0,1404,924.0,1426,926,1430,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd001,AG-891-J04_a22_gnd001,AG-891-J04_a22_gnd00000,0.990967450980388,0.999951050341016,0.999951050341016,0.9,"(0.99, 1.0]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd002,98.1556988795518,0.694876884084645,1428,98.1875,1430,928,1432,928,1.0,34,1.0,34,1.0,36,3.0,40,5.0,47,57.0,125,262.0,439,538.0,858,775.0,1204,881,1356,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd002,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd002,0.9819183031674166,0.9998887507750364,0.9998887507750364,1.81,"(0.98, 0.99]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd003,97.2481101754386,0.9803587997236228,1425,97.268,1429,931,1432,928,0.0,30,0.0,31,1.0,32,1.0,32,1.0,34,9.0,53,37.0,117,138.0,278,320.0,542,564,880,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd003,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd003,0.9728696078431368,0.9998316428395548,0.9998316428395548,2.71,"(0.97, 0.98]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd004,96.31732816901409,1.1940298042398854,1420,96.338,1422,929,1432,928,0.0,29,0.0,29,0.0,29,0.0,30,1.0,31,1.0,33,2.0,46,20.0,77,85.0,180,226,377,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd004,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd004,0.9638693589743608,0.9997248435835896,0.9997248435835896,3.61,"(0.96, 0.97]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd005,95.41135654008438,1.4321881508836174,1422,95.3955,1427,927,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,1.0,33,1.0,35,3.0,48,15.0,84,58,151,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd005,AG-891-J04_a22_gnd005,AG-891-J04_a22_gnd00000,0.9548588009049792,0.9996365858651184,0.9996358442036188,4.51,"(0.95, 0.96]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd006,94.49646426043877,1.6695976304135087,1413,94.521,1421,929,1432,928,0.0,30,0.0,30,0.0,30,0.0,30,1.0,31,1.0,31,1.0,33,1.0,35,1.0,41,9,67,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd006,AG-891-J04_a22_gnd006,AG-891-J04_a22_gnd00000,0.9458586726998488,0.9995008618106628,0.9995060534411612,5.41,"(0.94, 0.95]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd007,93.55041660752308,1.8415104326655414,1409,93.514,1433,928,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,1.0,30,1.0,31,1.0,32,1.0,32,1.0,32,3,36,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd007,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd007,0.936722285067872,0.9994029624926948,0.9994059291386936,6.33,"(0.93, 0.94]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd008,92.72053109363831,2.136840726563202,1399,92.698,1429,932,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,1.0,30,1.0,30,1.0,31,1.0,32,3.0,35,3,38,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd008,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd008,0.9277658144796396,0.9993792293247024,0.9993821959707014,7.22,"(0.92, 0.93]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd009,91.83134356725147,2.2785203582720674,1368,91.836,1425,930,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,1.0,30,1.0,30,1.0,30,1.0,31,1.0,31,1,34,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd009,AG-891-J04_a22_gnd009,AG-891-J04_a22_gnd00000,0.9187366892911027,0.9991908473037636,0.9991908473037636,8.13,"(0.91, 0.92]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd010,90.9851543071161,2.4798625560726215,1335,90.942,1425,926,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,1.0,30,1.0,31,1.0,31,1.0,32,1,32,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd010,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd010,0.9098437556561088,0.9989742821458344,0.998981698760832,9.02,"(0.9, 0.91]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd011,90.17486590038314,2.6533669364290335,1305,90.105,1424,928,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,1.0,30,1.0,30,1.0,31,1.0,32,1.0,33,1,33,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd011,AG-891-J04_a22_gnd011,AG-891-J04_a22_gnd00000,0.9007153544494736,0.9988719328588678,0.9988719328588678,9.93,"(0.9, 0.91]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd012,89.35420823436263,2.8545625777843484,1263,89.181,1420,926,1432,928,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,1.0,29,1.0,31,1.0,32,1.0,32,1,32,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd012,AG-891-J04_a22_gnd012,AG-891-J04_a22_gnd00000,0.8917197662141788,0.9987414004349104,0.9987443670809092,10.83,"(0.89, 0.9]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd013,88.62996853741497,3.0464817366554486,1176,88.5065,1424,929,1432,928,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,1.0,29,1.0,29,1.0,29,1.0,30,1,32,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd013,AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd013,0.8828061764705887,0.9985003604474888,0.9985003604474888,11.72,"(0.88, 0.89]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd014,87.87717090909092,3.223494420676983,1100,87.678,1429,931,1432,928,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,1.0,29,1.0,29,1.0,30,1.0,30,1,31,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd014,AG-891-J04_a22_gnd014,AG-891-J04_a22_gnd00000,0.873656372549021,0.9982548704910688,0.9982548704910688,12.63,"(0.87, 0.88]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd015,87.28084508440914,3.3782072724419514,1007,87.063,1429,929,1432,928,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,1.0,29,1.0,30,1.0,31,1.0,31,1,32,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd015,AG-891-J04_a22_gnd015,AG-891-J04_a22_gnd00000,0.8648253242835601,0.9979782307516591,0.9979804557361583,13.52,"(0.86, 0.87]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd016,86.62372847682119,3.622756294340352,906,86.4675,1434,929,1432,928,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,1.0,30,1.0,30,1.0,31,1,31,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd016,AG-891-J04_a22_gnd016,AG-891-J04_a22_gnd00000,0.8558211538461562,0.9977104909502464,0.997714940919245,14.42,"(0.85, 0.86]"
AG-891-J04_a22_gnd00000,AG-891-J04_a22_gnd017,85.88199169632266,3.8853911377466397,843,85.463,1429,935,1432,928,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,1.0,30,1.0,30,1.0,30,1,31,AG-891-J04_a22_gnd00000_AG-891-J04_a22_gnd017,AG-891-J04_a22_gnd017,AG-891-J04_a22_gnd00000,0.8469610180995488,0.9970229707399704,0.9970259373859696,15.3,"(0.84, 0.85]"
