qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00005,99.9541713091922,0.08888199065824226,1436,100.0,1436,930,1436,930,728,1169,887,1345,916,1405,926,1422,930,1431,930,1435,930,1436,930,1436,930,1436,930,1436,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00005,AG-904-K03_a5_gnd00005,AG-904-K03_a5_gnd00000,0.9995554347826132,0.9999770117158676,0.9999770117158676,0.04,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00010,99.90747592463363,0.12847436710244609,1433,99.961,1433,930,1436,930,542,908,792,1206,875,1329,911,1384,927,1410,930,1432,930,1433,930,1433,930,1433,930,1433,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00010,AG-904-K03_a5_gnd00010,AG-904-K03_a5_gnd00000,0.9991110419790163,0.9999733039281044,0.9999733039281044,0.09,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00020,99.81606058495822,0.1939499301907116,1436,99.852,1437,929,1436,930,326,585,563,860,708,1097,829,1264,874,1343,927,1432,928,1434,928,1436,928,1436,928,1436,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00020,AG-904-K03_a5_gnd00020,AG-904-K03_a5_gnd00000,0.9982205697151476,0.9999755286007624,0.9999755286007624,0.18,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00030,99.72632566248257,0.2392421958461499,1434,99.767,1435,932,1436,930,180,376,387,620,540,874,688,1070,778,1207,927,1420,930,1433,930,1433,930,1434,930,1434,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00030,AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00030,0.9973260344827596,0.999965888352578,0.999965888352578,0.27,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00040,99.63472245467226,0.2966244304039429,1434,99.684,1434,930,1436,930,114,270,276,455,431,690,573,881,671,1033,906,1383,929,1429,930,1434,930,1434,930,1434,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00040,AG-904-K03_a5_gnd00040,AG-904-K03_a5_gnd00000,0.996437496251872,0.999954764989288,0.999954764989288,0.36,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00050,99.54032891986063,0.3331373943817211,1435,99.577,1435,929,1436,930,70,194,194,338,295,508,432,683,535,852,884,1347,925,1421,929,1435,929,1435,929,1435,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00050,AG-904-K03_a5_gnd00050,AG-904-K03_a5_gnd00000,0.9955340629685104,0.999956989661946,0.999956989661946,0.45,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00060,99.44311653872994,0.3967255601400779,1433,99.497,1435,930,1436,930,59,161,144,256,227,392,337,541,449,714,825,1252,912,1400,928,1425,930,1432,930,1433,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00060,AG-904-K03_a5_gnd00060,AG-904-K03_a5_gnd00000,0.9946255397301296,0.999946607856209,0.999946607856209,0.54,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00070,99.35286262203627,0.43129054452978244,1434,99.411,1435,930,1436,930,33,125,94,196,153,305,257,439,357,597,739,1159,892,1371,924,1423,928,1433,929,1434,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00070,AG-904-K03_a5_gnd00070,AG-904-K03_a5_gnd00000,0.993740712143924,0.9999251026871822,0.9999251026871822,0.63,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00080,99.25689547038327,0.49231737781890555,1435,99.329,1436,930,1436,930,26,110,70,160,123,248,196,349,287,492,692,1057,862,1327,916,1408,927,1428,930,1433,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00080,AG-904-K03_a5_gnd00080,AG-904-K03_a5_gnd00000,0.992846604197896,0.9999451247411038,0.9999451247411038,0.72,"(0.99, 1.0]"
AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00090,99.1746912891986,0.5369129321234358,1435,99.237,1437,931,1436,930,21,99,57,140,103,219,175,319,232,429,616,973,836,1281,902,1390,927,1424,929,1432,AG-904-K03_a5_gnd00000_AG-904-K03_a5_gnd00090,AG-904-K03_a5_gnd00000,AG-904-K03_a5_gnd00090,0.9919664392803546,0.9999213948994188,0.9999213948994188,0.8,"(0.99, 1.0]"
