"","SAG","Module_ID","Submodule_ID","X16S.based_lineage","Silva_16S_classification","CheckM_classification","Estimated_cell_diameter_µm","Aassembly_length..bp","Contigs_count","Longest_contig_length","GC_content_.","Genome_completeness_.","Raw_read_count","Field_Sample_ID","Cruise","Feature","Lattitude","Longitude","Depth_m","Sample_collection_date"
"714","AG-390-L19","4","26","NS5_Flavobacteriaceae","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae","<0.5",1516294,42,225107,30.1184335,0.82,2828305,"SWC-11","GEOTRACES","Northern edge of Sargasso Sea","36.20 N","-53.31 E",10,"5/1/10"
"744","AH-287-F15","8","15","SAR11_Surface4_Alphaproteobacteria","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae","0.19",1323050,15,410338,32.92762934,0.98,4210302,"117 Fiji-Hawaii 2007","3 c.1","equatorial","-3 N","-166 E",15,"4/23/07"
"802","AG-343-C10","17","51","Marinoscillum","k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Marinoscillum;s__?","k__Bacteria;p__Bacteroidetes;c__Cytophagia;c__Candidatus_Amoebophilus;o__Candidatus_Amoebophilus;f__Candidatus_Amoebophilus;g__Candidatus_Amoebophilus;s__Candidatus_Amoebophilus_asiaticus","<0.5",1648311,55,217745,27.95388734,0.81,2885755,"SWC-06","BiG-RAPA","DCM, only 3% of Pro detected by qPCR","-26.25 N","-103.96 E",180,"12/1/10"
"817","AG-911-F16","22","20","Luxescamonaceae","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__?;s__?","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae","0.62",1957330,74,327642,31.3065247,0.82,4596572,"SWC-09","BATS ML","BATS Mixed Layer ~20% narB","31.07 N","-64.17 E",10,"7/1/09"
"818","AG-919-G06","23","17","UnclassRhodospirillaceae_Alphaproteobacteria","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__?;s__?","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae","0.49",1181154,50,363787,28.64689956,0.84,3049471,"SWC-09","BATS ML","BATS Mixed Layer ~20% narB","31.07 N","-64.17 E",10,"7/1/09"
"819","AH-321-K21","24","6","NS9_Flavobacteriales","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9_marine_group;g__?;s__?","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;unresolved","0.57",1330417,76,84064,29.60477805,0.8,3064293,"133 Fiji-Hawaii 2007","5 c.1","equatorial","5 N","-162 E",15,"4/26/07"
"822","AG-447-C19","25","50","Thaumarchaeota","k__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Ca._Nitrosopumilales;f__Ca._Nitrosopelagicus_family_incertae_sedis;g__Ca._Nitrosopelagicus;s__?","k__Archaea;p__Thaumarchaeota;c__Nitrosopumilales;o__Nitrosopumilales;f__Nitrosopumilaceae","<0.5",1096062,32,149942,33.26016229,0.84,3881308,"SWC-19","GEOTRACES","Off the SW coast of South Africa","-34.98 N","16.02 E",20,"11/1/10"
"825","AH-287-B15","29","29","OM60(NOR5)_Gammaproteobacteria","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae;g__OM60(NOR5)_clade;s__?","k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales_3;f__Alteromonadaceae;o__;f__;g__;s__","0.2",2385600,65,210336,56.15560027,0.82,2793821,"117 Fiji-Hawaii 2007","3 c.1","equatorial","-3 N","-166 E",15,"4/23/07"
"826","AG-325-I21","31","47","SAR116_Alphaproteobacteria","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?","k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;o__Candidatus_Puniceispirillum;f__Candidatus_Puniceispirillum;g__Candidatus_Puniceispirillum;s__Candidatus_Puniceispirillum_marinum","<0.5",2159797,122,100418,45.89236859,0.83,14309110,"SWC-03","BiG-RAPA","Mixed layer, 50% PAR","-23.46 N","-88.77 E",14,"12/1/10"
"836","AH-321-L02","54","103","MGIII","k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Marine_Group_III;f__?;g__?;s__?","k__Archaea;p__Euryarchaeota;unresolved","0.41",1308866,36,135996,36.70467412,0.82,3085557,"133 Fiji-Hawaii 2007","5 c.1","equatorial","5 N","-162 E",15,"4/26/07"
