qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00005,99.95222867647058,0.08563333664853418,1360,100.0,1359,823,1358,822,627.0,1086,785.0,1279,812.0,1333,820.0,1349,822.0,1356,822.0,1360,822.0,1360,822.0,1360,822.0,1360,822.0,1360,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00005,AG-893-F23_a22_gnd00005,AG-893-F23_a22_gnd00000,0.9995562044817968,0.9999797633003964,0.9999797633003964,0.04,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00010,99.90839941046426,0.11855168744274326,1357,99.938,1357,822,1358,822,450.0,824,706.0,1162,785.0,1292,811.0,1329,819.0,1345,822.0,1356,822.0,1357,822.0,1357,822.0,1357,822.0,1357,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00010,AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00010,0.9991139425770372,0.99997557639703,0.99997557639703,0.09,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00020,99.81639514348785,0.1760332693986016,1359,99.841,1359,822,1358,822,241.0,474,509.0,836,647.0,1086,745.0,1222,792.0,1296,821.0,1353,821.0,1358,821.0,1359,821.0,1359,821.0,1359,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00020,AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00020,0.9982551610644336,0.9999720873108916,0.9999720873108916,0.17,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00030,99.72238631346578,0.232790636096833,1359,99.744,1360,822,1358,822,132.0,285,323.0,534,488.0,816,644.0,1049,724.0,1184,822.0,1347,822.0,1355,822.0,1357,822.0,1357,822.0,1359,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00030,AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00030,0.9973747759103676,0.9999630156869312,0.9999630156869312,0.26,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00040,99.63824244657333,0.2533215354462637,1357,99.659,1358,823,1358,822,64.0,208,183.0,353,336.0,589,498.0,831,634.0,1037,817.0,1333,822.0,1353,822.0,1357,822.0,1357,822.0,1357,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00040,AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00040,0.9964956302520992,0.9999476637079217,0.9999476637079217,0.35,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00050,99.5468125,0.2939384551965617,1360,99.5655,1362,822,1358,822,48.0,155,140.0,257,232.0,428,355.0,614,473.0,808,789.0,1302,821.0,1354,821.0,1359,821.0,1359,821.0,1360,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00050,AG-893-F23_a22_gnd00050,AG-893-F23_a22_gnd00000,0.9955893347338888,0.999953944062971,0.999953944062971,0.44,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00060,99.45413117170229,0.32926123691125303,1357,99.478,1359,822,1358,822,21.0,116,71.0,171,137.0,293,263.0,468,356.0,638,760.0,1248,820.0,1344,821.0,1355,821.0,1356,821.0,1357,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00060,AG-893-F23_a22_gnd00060,AG-893-F23_a22_gnd00000,0.9946947969187628,0.9999630156869312,0.9999630156869312,0.53,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00070,99.36325718496684,0.34258519949110344,1357,99.382,1357,821,1358,822,7.0,82,50.0,127,91.0,200,171.0,314,260.0,458,722.0,1188,808.0,1336,819.0,1353,820.0,1356,820.0,1357,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00070,AG-893-F23_a22_gnd00070,AG-893-F23_a22_gnd00000,0.9938225770308076,0.9999351029978228,0.9999351029978228,0.62,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00080,99.26982829771555,0.40698312949583554,1357,99.296,1359,823,1358,822,7.0,81,29.0,105,55.0,157,121.0,240,202.0,371,663.0,1084,803.0,1307,822.0,1349,822.0,1351,822.0,1355,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00080,AG-893-F23_a22_gnd00080,AG-893-F23_a22_gnd00000,0.992960287114842,0.9999246357394072,0.9999246357394072,0.7,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00090,99.17108990420044,0.43135188893555043,1357,99.201,1359,822,1358,822,4.0,74,19.0,89,40.0,130,82.0,187,137.0,285,546.0,928,765.0,1272,817.0,1345,821.0,1353,821.0,1356,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd00090,AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd00090,0.9920332703081202,0.9999302182772288,0.9999302182772288,0.8,"(0.99, 1.0]"
AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd001,99.09020177383593,0.44690386222079004,1353,99.107,1359,821,1358,822,1.0,63,11.0,73,25.0,98,64.0,151,99.0,201,493.0,826,756.0,1241,812.0,1331,820.0,1349,820.0,1351,AG-893-F23_a22_gnd00000_AG-893-F23_a22_gnd001,AG-893-F23_a22_gnd00000,AG-893-F23_a22_gnd001,0.9911689915966366,0.999932311728912,0.999932311728912,0.88,"(0.99, 1.0]"
