qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00000_p10_s1_c87.55,99.96260652920962,0.9017174545463309,1164,100.0,1166,743,1296,817,740.0,1162,740.0,1162,740.0,1162,740.0,1162,740.0,1162,740.0,1162,740.0,1162,740.0,1162,740.0,1162,740.0,1162,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00000_p10_s1_c87.55,AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00000_p10_s1_c87.55,1.0,0.8941235834993339,0.9999679418777084,0.0,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00000_p10_s5_c90.36,99.9624775862069,0.9032694604713618,1160,100.0,1161,732,1296,817,731.0,1158,731.0,1158,731.0,1158,731.0,1158,731.0,1158,731.0,1158,731.0,1158,731.0,1158,731.0,1158,731.0,1158,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00000_p10_s5_c90.36,AG-414-L04_gnd00000_p10_s5_c90.36,AG-414-L04_gnd00000_p0_s0_c98.8,1.0,0.9999899210820726,0.8936412477078743,0.0,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00000_p17_s3_c83.13,99.9797553488372,0.6637652772296955,1075,100.0,1075,659,1296,817,655.0,1074,655.0,1074,655.0,1074,655.0,1074,655.0,1074,655.0,1074,655.0,1074,655.0,1074,655.0,1074,655.0,1074,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00000_p17_s3_c83.13,AG-414-L04_gnd00000_p17_s3_c83.13,AG-414-L04_gnd00000_p0_s0_c98.8,1.0,0.9999890711794084,0.8251338997137316,0.0,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00000_p18_s4_c80.83,99.9582284069098,0.9529962798225273,1042,100.0,1044,640,1296,817,637.0,1040,637.0,1040,637.0,1040,637.0,1040,637.0,1040,637.0,1040,637.0,1040,637.0,1040,637.0,1040,637.0,1040,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00000_p18_s4_c80.83,AG-414-L04_gnd00000_p18_s4_c80.83,AG-414-L04_gnd00000_p0_s0_c98.8,1.0,0.999958749029093,0.812528857696925,0.0,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00000_p19_s2_c85.54,99.95866476733144,0.9480103141649799,1053,100.0,1054,657,1296,817,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,655.0,1051,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00000_p19_s2_c85.54,AG-414-L04_gnd00000_p19_s2_c85.54,AG-414-L04_gnd00000_p0_s0_c98.8,1.0,0.9999032787486104,0.8028285490020184,0.0,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00005_p0_s0_c98.8,99.92088511950656,0.857207848894231,1297,100.0,1296,816,1296,817,636.0,1053,773.0,1208,802.0,1268,811.0,1283,813.0,1288,816.0,1295,816.0,1295,816.0,1295,816.0,1295,816.0,1295,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00005_p0_s0_c98.8,AG-414-L04_gnd00005_p0_s0_c98.8,AG-414-L04_gnd00000_p0_s0_c98.8,0.9995488397328882,0.99998845692123,0.99998845692123,0.05,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00005_p0_s3_c98.8,99.92088511950656,0.857207848894231,1297,100.0,1296,816,1296,817,636.0,1053,773.0,1208,802.0,1268,811.0,1283,813.0,1288,816.0,1295,816.0,1295,816.0,1295,816.0,1295,816.0,1295,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00005_p0_s3_c98.8,AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00005_p0_s3_c98.8,0.9995488397328882,0.99998845692123,0.99998845692123,0.05,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00005_p14_s1_c87.95,99.93332585278277,0.6573057539621663,1114,100.0,1118,698,1296,817,538.0,900,657.0,1033,682.0,1087,690.0,1100,692.0,1106,695.0,1113,695.0,1113,695.0,1113,695.0,1113,695.0,1113,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00005_p14_s1_c87.95,AG-414-L04_gnd00005_p14_s1_c87.95,AG-414-L04_gnd00000_p0_s0_c98.8,0.9995420500481234,0.99999712382784,0.8559704101420789,0.05,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00005_p14_s2_c81.93,99.91477777777777,0.9199577568653724,1125,100.0,1124,705,1296,817,547.0,912,663.0,1043,690.0,1096,699.0,1111,701.0,1116,704.0,1123,704.0,1123,704.0,1123,704.0,1123,704.0,1123,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00005_p14_s2_c81.93,AG-414-L04_gnd00005_p14_s2_c81.93,AG-414-L04_gnd00000_p0_s0_c98.8,0.9995465832531282,0.9999865848984284,0.8534490719364669,0.05,"(0.99, 1.0]"
AG-414-L04_gnd00000_p0_s0_c98.8,AG-414-L04_gnd00005_p18_s5_c74.7,99.91220338983051,0.9464058276652901,1062,100.0,1064,662,1296,817,507.0,857,619.0,987,644.0,1036,653.0,1050,654.0,1054,657.0,1060,657.0,1060,657.0,1060,657.0,1060,657.0,1060,AG-414-L04_gnd00000_p0_s0_c98.8_AG-414-L04_gnd00005_p18_s5_c74.7,AG-414-L04_gnd00005_p18_s5_c74.7,AG-414-L04_gnd00000_p0_s0_c98.8,0.9995312197580646,0.999943675911193,0.8145357043916468,0.05,"(0.99, 1.0]"
