qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00005,99.91977932098766,0.8571721663071764,1296,100.0,1295,817,1296,817,623,1031,783,1214,809,1269,816,1284,817,1290,817,1294,817,1294,817,1294,817,1294,817,1294,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00005,AG-414-L04_a22_gnd00005,AG-414-L04_a22_gnd00000,0.9995465692821408,0.9999909304381092,0.9999909304381092,0.05,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00010,99.87368209876543,0.866099578314036,1296,99.951,1296,818,1296,817,464,798,701,1086,772,1220,805,1266,811,1278,817,1292,817,1293,817,1294,817,1294,817,1294,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00010,AG-414-L04_a22_gnd00010,AG-414-L04_a22_gnd00000,0.999105709515866,0.9999835098874714,0.9999835098874714,0.09,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00020,99.78585505011566,0.8735994084843361,1297,99.845,1299,817,1296,817,244,476,490,786,629,1018,737,1159,786,1233,817,1294,817,1295,817,1295,817,1295,817,1295,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00020,AG-414-L04_a22_gnd00020,AG-414-L04_a22_gnd00000,0.9982172704507558,0.9999752648312072,0.9999752648312072,0.18,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00030,99.69100077101002,0.8870384084788483,1297,99.741,1298,817,1296,817,112,287,291,502,467,769,615,982,706,1120,817,1285,817,1295,817,1295,817,1295,817,1295,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00030,AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00030,0.997325267111852,0.9999785628537128,0.9999785628537128,0.27,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00040,99.59644598765432,0.893575350338695,1296,99.6565,1296,817,1296,817,68,195,195,337,322,549,476,766,593,953,806,1261,816,1292,816,1294,816,1294,816,1294,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00040,AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00040,0.9964146744574248,0.999972791314328,0.999972791314328,0.36,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00050,99.5069583011583,0.9112642981784509,1295,99.565,1296,817,1296,817,40,139,119,226,218,394,354,579,475,776,796,1238,816,1287,817,1291,817,1292,817,1292,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00050,AG-414-L04_a22_gnd00050,AG-414-L04_a22_gnd00000,0.9954901585976564,0.9999604237299315,0.9999604237299315,0.45,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00060,99.4339860896445,0.6895432832545979,1294,99.47149999999999,1299,819,1296,817,23,115,74,172,146,290,241,416,347,579,763,1189,817,1284,817,1289,817,1292,817,1293,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00060,AG-414-L04_a22_gnd00060,AG-414-L04_a22_gnd00000,0.9946203005008272,0.9999620727411844,0.9999620727411844,0.54,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00070,99.32398839907192,0.9174281384305797,1293,99.384,1293,816,1296,817,12,86,40,115,85,202,182,322,272,460,693,1087,808,1267,815,1287,816,1290,816,1291,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00070,AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00070,0.9937183722871406,0.9999628972468108,0.9999628972468108,0.63,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00080,99.24436426914153,0.7264491726797017,1293,99.286,1295,817,1296,817,5,70,26,92,63,164,119,238,199,362,627,1001,790,1238,810,1281,814,1287,816,1290,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00080,AG-414-L04_a22_gnd00080,AG-414-L04_a22_gnd00000,0.9928213021702788,0.999934039549886,0.999934039549886,0.72,"(0.99, 1.0]"
AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00090,99.16167542503864,0.7312891792128592,1294,99.204,1294,816,1296,817,3,69,18,85,30,113,64,160,119,250,563,907,776,1224,813,1283,816,1289,816,1292,AG-414-L04_a22_gnd00000_AG-414-L04_a22_gnd00090,AG-414-L04_a22_gnd00000,AG-414-L04_a22_gnd00090,0.9919147996661044,0.999938162078018,0.999938162078018,0.81,"(0.99, 1.0]"
