qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00005,99.9526777378815,0.09607845003202285,1114,100.0,1115,713,1115,714,569,898,686,1041,701,1078,712,1099,713,1111,713,1114,713,1114,713,1114,713,1114,713,1114,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00005,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00005,0.9995543427458646,0.9999612678954428,0.9999612678954428,0.04,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00010,99.90839407540395,0.13015241601076674,1114,100.0,1115,713,1115,714,411,702,597,928,679,1046,709,1090,712,1103,713,1112,713,1114,713,1114,713,1114,713,1114,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00010,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00010,0.9991131450827692,0.999956426382373,0.999956426382373,0.09,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00020,99.8207018018018,0.17606873272725446,1110,99.846,1112,713,1115,714,227,421,421,664,536,870,636,998,675,1053,711,1107,713,1110,713,1110,713,1110,713,1110,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00020,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00020,0.9982253846153852,0.9999612678954428,0.9999612678954428,0.18,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00030,99.7198158131177,0.23210484180957366,1113,99.748,1115,713,1115,714,119,256,271,434,403,665,523,830,615,959,712,1103,713,1111,713,1112,713,1113,713,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00030,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00030,0.9973313534566682,0.9999573946849868,0.9999573946849868,0.27,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00040,99.62445732255166,0.2738709297672927,1113,99.659,1115,713,1115,714,68,174,178,297,288,471,410,646,511,798,707,1089,713,1111,713,1112,713,1112,713,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00040,AG-359-G18_a22_gnd00040,AG-359-G18_a22_gnd00000,0.9964182570593912,0.9999477116588475,0.9999477116588475,0.36,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00050,99.54507547169811,0.286458146120435,1113,99.571,1116,713,1115,714,39,118,105,189,180,321,308,501,427,677,692,1072,709,1106,712,1113,712,1113,712,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00050,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00050,0.9955939337877244,0.999941901843164,0.999941901843164,0.44,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00060,99.45260377358491,0.33835869215093756,1113,99.472,1114,714,1115,714,21,105,62,149,111,229,208,363,298,503,661,1021,711,1099,714,1110,714,1113,714,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00060,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00060,0.9946891918208296,0.9999399652379362,0.9999399652379362,0.53,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00070,99.36148247978437,0.36844473330517197,1113,99.387,1115,712,1115,714,9,82,45,118,86,187,151,274,221,390,628,954,702,1087,711,1110,712,1112,712,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00070,AG-359-G18_a22_gnd00070,AG-359-G18_a22_gnd00000,0.9938130477117758,0.9999341554222526,0.9999341554222526,0.62,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00080,99.26872596585804,0.4053664846630962,1113,99.306,1115,712,1115,714,6,74,17,86,45,136,115,226,162,314,538,853,687,1069,708,1106,711,1112,712,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00080,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00080,0.992889328140208,0.999914789369974,0.999914789369974,0.71,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00090,99.17456014362658,0.442113650781096,1114,99.213,1117,712,1115,714,7,58,17,68,34,100,71,149,120,235,491,787,668,1032,708,1099,712,1111,712,1113,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd00090,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd00090,0.992075676728332,0.999899296528151,0.999899296528151,0.79,"(0.99, 1.0]"
AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd001,99.07698203054807,0.44981670291750064,1113,99.104,1117,713,1115,714,2,43,10,51,16,71,48,112,81,171,426,682,647,1006,703,1090,713,1111,713,1112,AG-359-G18_a22_gnd00000_AG-359-G18_a22_gnd001,AG-359-G18_a22_gnd00000,AG-359-G18_a22_gnd001,0.99114480038948,0.999911884462132,0.999911884462132,0.89,"(0.99, 1.0]"
