qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00005,99.95503934426229,0.08580348472740752,1220,100.0,1223,769,1223,768,597,995,732,1145,755,1194,767,1214,768,1216,768,1220,768,1220,768,1220,768,1220,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00005,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00005,0.9995594575045238,0.999994628675888,0.999994628675888,0.04,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00010,99.90571967213116,0.12960695972723368,1220,99.955,1225,769,1223,768,440,757,657,1020,723,1131,753,1177,762,1201,768,1219,768,1220,768,1220,768,1220,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00010,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00010,0.9991053345388838,0.999991943013832,0.999991943013832,0.09,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00020,99.8142286885246,0.1849908212163275,1220,99.836,1226,770,1223,768,219,436,442,713,597,957,699,1096,739,1160,768,1216,768,1218,768,1219,768,1220,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00020,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00020,0.9982254972875272,0.99998657168972,0.99998657168972,0.18,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00030,99.72948114754098,0.2142504467932381,1220,99.747,1230,769,1223,768,142,296,295,479,443,729,591,927,662,1049,766,1213,768,1220,768,1220,768,1220,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00030,AG-390-D15_a22_gnd00030,AG-390-D15_a22_gnd00000,0.9973483273056054,0.9999794099242376,0.9999794099242376,0.27,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00040,99.63763524590163,0.25449804008526616,1220,99.6545,1227,770,1223,768,66,203,171,321,280,517,447,732,555,898,760,1199,768,1219,768,1220,768,1220,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00040,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00040,0.9964164737793808,0.99998657168972,0.99998657168972,0.36,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00050,99.54301968826908,0.3057593894057144,1219,99.565,1225,770,1223,768,35,147,109,226,196,377,324,549,438,719,746,1172,768,1209,768,1216,768,1219,768,1219,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00050,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00050,0.99555148282097,0.9999803051449228,0.9999803051449228,0.44,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00060,99.44966776045939,0.3476545154377505,1219,99.472,1229,770,1223,768,21,123,75,182,141,291,238,423,326,563,707,1100,763,1204,768,1216,768,1219,768,1219,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00060,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00060,0.9946448010849852,0.9999632959519016,0.9999632959519016,0.54,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00070,99.36363770491803,0.3608039717662556,1220,99.38499999999999,1225,769,1223,768,6,87,39,122,80,212,160,321,232,444,651,1032,761,1199,768,1219,768,1220,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00070,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00070,0.9937737070524354,0.9999597150691604,0.9999597150691604,0.62,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00080,99.26173278688525,0.411741650731511,1220,99.296,1225,769,1223,768,10,77,29,96,55,151,117,231,185,337,590,940,742,1160,767,1212,768,1219,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00080,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00080,0.9928899186256722,0.9999606102898456,0.9999606102898456,0.71,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd00090,99.17816324856439,0.40877960116226975,1219,99.192,1226,771,1223,768,7,63,19,75,37,108,75,163,127,250,509,844,729,1155,763,1208,768,1219,768,1219,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd00090,AG-390-D15_a22_gnd00090,AG-390-D15_a22_gnd00000,0.9919911121157295,0.9999552389657336,0.9999552389657336,0.8,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd001,99.07509262295082,0.4653956554441828,1220,99.109,1227,769,1223,768,3,57,9,63,25,93,49,126,84,194,444,731,694,1091,762,1191,768,1215,768,1220,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd001,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd001,0.9911124321880624,0.9999597150691604,0.9999597150691604,0.89,"(0.99, 1.0]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd002,98.17745894909689,0.7269594247946884,1218,98.21,1230,769,1223,768,1,35,1,35,2,36,3,40,4,45,40,126,208,373,472,758,653,1031,737,1154,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd002,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd002,0.98223396925859,0.999880040428166,0.999880040428166,1.78,"(0.98, 0.99]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd003,97.2428083881579,0.9643611614299045,1216,97.20949999999999,1230,769,1223,768,1,33,1,33,1,34,1,36,1,36,1,46,13,72,115,235,271,465,462,739,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd003,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd003,0.9733218444846288,0.9997985753458014,0.9997985753458014,2.67,"(0.97, 0.98]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd004,96.351703215169,1.2485202036710505,1213,96.409,1229,770,1223,768,1,34,1,34,1,34,1,35,1,35,1,38,3,44,24,77,77,166,191,341,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd004,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd004,0.9645485804701658,0.999723376808234,0.999723376808234,3.55,"(0.96, 0.97]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd005,95.45510356255178,1.4534924926698678,1207,95.458,1230,769,1223,768,1,33,1,33,1,33,1,33,1,33,1,35,1,41,2,48,10,70,44,122,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd005,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd005,0.9555927124773996,0.9996625018016316,0.9996625018016316,4.44,"(0.95, 0.96]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd006,94.5459285120532,1.6883722836693664,1203,94.509,1227,771,1223,768,1,32,1,32,1,32,1,32,1,32,1,32,1,35,1,38,2,48,10,67,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd006,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd006,0.9465944213381564,0.999551494436651,0.999551494436651,5.34,"(0.94, 0.95]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd007,93.65917632241813,1.921774735829055,1191,93.625,1226,768,1223,768,1,32,1,32,1,32,1,32,1,32,1,32,1,32,1,33,2,36,4,41,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd007,AG-390-D15_a22_gnd007,AG-390-D15_a22_gnd00000,0.9378304430379756,0.9994628675888036,0.9994673436922304,6.22,"(0.93, 0.94]"
AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd008,92.77977268871925,2.170982848212554,1179,92.712,1231,771,1223,768,1,32,1,32,1,32,1,32,1,32,1,32,1,33,1,33,1,36,3,39,AG-390-D15_a22_gnd00000_AG-390-D15_a22_gnd008,AG-390-D15_a22_gnd00000,AG-390-D15_a22_gnd008,0.9289289150090414,0.9993402223549138,0.9993402223549138,7.11,"(0.92, 0.93]"
