qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00005,99.95530997109827,0.08332780323978639,1384,100.0,1387,896,1387,896,698,1133,852,1302,881,1359,895,1378,896,1381,896,1384,896,1384,896,1384,896,1384,896,1384,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00005,AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00005,0.9995536224098276,0.999974301802653,0.999974301802653,0.04,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00010,99.90532008670519,0.12293807764034902,1384,99.935,1387,895,1387,896,499,837,761,1154,852,1297,886,1351,891,1368,895,1383,895,1384,895,1384,895,1384,895,1384,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00010,AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00010,0.99910920184191,0.9999720343146518,0.9999720343146518,0.09,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00020,99.81403832248735,0.18897142367161976,1383,99.842,1386,896,1387,896,274,512,547,844,692,1079,804,1224,848,1292,896,1378,896,1382,896,1383,896,1383,896,1383,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00020,AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00020,0.9982059094397596,0.999959941045312,0.999959941045312,0.18,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00030,99.72399277456647,0.22373273864714194,1384,99.75,1388,896,1387,896,144,313,342,557,515,819,677,1035,764,1186,894,1372,896,1382,896,1384,896,1384,896,1384,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00030,AH-287-F15_a22_gnd00030,AH-287-F15_a22_gnd00000,0.997314458940906,0.9999523827519746,0.9999523827519746,0.27,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00040,99.62661488439305,0.2735345912676208,1384,99.652,1388,897,1387,896,58,203,209,373,335,589,507,812,638,1007,884,1350,896,1379,896,1382,896,1384,896,1384,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00040,AH-287-F15_a22_gnd00040,AH-287-F15_a22_gnd00000,0.996422064466612,0.9999531385813084,0.9999531385813084,0.36,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00050,99.53887933526012,0.29110690943018624,1384,99.563,1387,896,1387,896,36,146,118,237,205,391,374,613,513,825,867,1326,894,1378,896,1383,896,1384,896,1384,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00050,AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00050,0.9955081120491106,0.9999478477759722,0.9999478477759722,0.45,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00060,99.44232778581765,0.31639825236664665,1382,99.4665,1386,896,1387,896,19,94,76,154,149,284,268,439,389,625,829,1268,890,1369,895,1381,896,1382,896,1382,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00060,AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00060,0.9946146124328406,0.9999380219946336,0.9999380219946336,0.54,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00070,99.3592834417932,0.37104370229027567,1383,99.368,1384,896,1387,896,14,96,59,142,111,238,197,351,290,500,764,1177,884,1355,894,1375,895,1381,896,1383,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00070,AH-287-F15_a22_gnd00070,AH-287-F15_a22_gnd00000,0.9937377359938532,0.9999433127999696,0.9999433127999696,0.63,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00080,99.26377801879971,0.38702064590386,1383,99.297,1387,897,1387,896,7,73,35,101,57,159,124,251,206,377,667,1057,868,1333,896,1380,896,1383,896,1383,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00080,AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00080,0.9928734765924716,0.9999327311892976,0.9999327311892976,0.71,"(0.99, 1.0]"
AH-287-F15_a22_gnd00000,AH-287-F15_a22_gnd00090,99.16507018813314,0.41238754348143297,1382,99.191,1387,896,1387,896,4,61,18,76,36,117,85,180,141,274,618,951,850,1299,895,1373,896,1381,896,1382,AH-287-F15_a22_gnd00000_AH-287-F15_a22_gnd00090,AH-287-F15_a22_gnd00090,AH-287-F15_a22_gnd00000,0.9919214351496508,0.9999395336533012,0.9999395336533012,0.81,"(0.99, 1.0]"
