SAG,Module_ID,Submodule_ID,16S-based_lineage,Silva_16S_classification,CheckM_classification,Estimated_cell_diameter_µm,"Aassembly_length, bp",Contigs_count,Longest_contig_length,GC_content_%,Genome_completeness_%,Raw_read_count,Field_Sample_ID,Cruise,Feature,Lattitude,Longitude,Depth_m,Sample_collection_date
AG-447-L14,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;o__;f__;g__;s__,<0.5,1052949,28,142831,28.74298755,91.0,3191561,SWC-19,GEOTRACES,Off the SW coast of South Africa,-34.98 N,16.02 E,20,11/1/10
AH-324-G08,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,0.14,969379,32,179770,28.80132538,81.0,2965083,121 Fiji-Hawaii 2007,3 c.1,equatorial,-3 N,-166 E,100,4/23/07
AG-903-C11,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;unresolved,0.27,1192898,41,239225,28.972384899999998,88.0,4614157,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-897-O11,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;s__Candidatus_Pelagibacter-like_SAR11;unresolved,0.27,1091099,35,169701,29.12283853,81.0,3800803,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
AG-426-M05,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;s__Candidatus_Pelagibacter-like_SAR11,<0.5,1224332,40,155656,29.22826488,85.0,3031383,SWC-15,GEOTRACES,"Off the North American Shelf, SE of WHOI",38.32 N,-68.87 E,90,11/1/11
AG-333-A04,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;s__Candidatus_Pelagibacter-like_SAR11,<0.5,1317451,37,172360,29.15455679,90.0,4047530,SWC-04,BiG-RAPA,"DCM, <1% PAR",-23.46 N,-88.77 E,112,12/1/10
AH-321-M13,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;unresolved,0.23,1137314,24,298993,29.50715458,94.0,3763693,133 Fiji-Hawaii 2007,5 c.1,equatorial,5 N,-162 E,15,4/26/07
AG-410-L19,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;o__;f__;g__;s__,<0.5,1074421,20,163202,28.85172572,96.0,4755104,SWC-13,GEOTRACES,North Equatorial Current,9.55 N,-50.47 E,100,6/1/10
AG-439-I14,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;unresolved,<0.5,954042,51,171863,29.50404699,82.0,3122081,SWC-18,GEOTRACES,TENATSO time-series station,17.40 N,-24.50 E,72,12/1/11
AG-915-P01,1,1,SAR11_Surface1_Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter-like;s__Candidatus_Pelagibacter-like_SAR11,0.3,1018750,35,239189,30.07784049,80.0,2904877,SWC-09,BATS ML,BATS Mixed Layer ~20% narB,31.07 N,-64.17 E,10,7/1/09
