qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00000_p10_s2_c89.1,100.0,0.0,1179,100.0,1180,739,1320,839,738.0,1179,738.0,1179,738.0,1179,738.0,1179,738.0,1179,738.0,1179,738.0,1179,738.0,1179,738.0,1179,738.0,1179,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00000_p10_s2_c89.1,AG-894-C14_gnd00000_p10_s2_c89.1,AG-894-C14_gnd00000_p0_s0_c99.37,1.0,0.9999570432209176,0.8933302062245922,0.0,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00000_p10_s4_c88.94,100.0,0.0,1166,100.0,1172,741,1320,839,739.0,1166,739.0,1166,739.0,1166,739.0,1166,739.0,1166,739.0,1166,739.0,1166,739.0,1166,739.0,1166,739.0,1166,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00000_p10_s4_c88.94,AG-894-C14_gnd00000_p10_s4_c88.94,AG-894-C14_gnd00000_p0_s0_c99.37,1.0,0.9999131158485838,0.8904779538833753,0.0,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00000_p11_s5_c80.33,100.0,0.0,1170,100.0,1177,755,1320,839,752.0,1170,752.0,1170,752.0,1170,752.0,1170,752.0,1170,752.0,1170,752.0,1170,752.0,1170,752.0,1170,752.0,1170,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00000_p11_s5_c80.33,AG-894-C14_gnd00000_p11_s5_c80.33,AG-894-C14_gnd00000_p0_s0_c99.37,1.0,0.9999389637712992,0.8824190654882405,0.0,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00000_p15_s3_c86.56,100.0,0.0,1111,100.0,1111,710,1320,839,709.0,1111,709.0,1111,709.0,1111,709.0,1111,709.0,1111,709.0,1111,709.0,1111,709.0,1111,709.0,1111,709.0,1111,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00000_p15_s3_c86.56,AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00000_p15_s3_c86.56,1.0,0.842906400697839,0.999927381452642,0.0,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00000_p1_s1_c97.47,100.0,0.0,1304,100.0,1305,825,1320,839,824.0,1304,824.0,1304,824.0,1304,824.0,1304,824.0,1304,824.0,1304,824.0,1304,824.0,1304,824.0,1304,824.0,1304,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00000_p1_s1_c97.47,AG-894-C14_gnd00000_p1_s1_c97.47,AG-894-C14_gnd00000_p0_s0_c99.37,1.0,0.9999326733660824,0.9832880725489228,0.0,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00005_p0_s0_c99.37,99.95480227272728,0.08272393227674943,1320,100.0,1321,838,1320,839,639.0,1067,800.0,1245,825.0,1292,833.0,1311,836.0,1317,838.0,1320,838.0,1320,838.0,1320,838.0,1320,838.0,1320,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00005_p0_s0_c99.37,AG-894-C14_gnd00005_p0_s0_c99.37,AG-894-C14_gnd00000_p0_s0_c99.37,0.9995452341137124,0.999971197682648,0.999971197682648,0.05,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00005_p11_s2_c90.13,99.9557414089347,0.08267451727994146,1164,100.0,1164,740,1320,839,570.0,947,706.0,1098,728.0,1139,736.0,1156,738.0,1161,740.0,1164,740.0,1164,740.0,1164,740.0,1164,740.0,1164,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00005_p11_s2_c90.13,AG-894-C14_gnd00005_p11_s2_c90.13,AG-894-C14_gnd00000_p0_s0_c99.37,0.9995572829131651,0.9999343803518136,0.8875541072104545,0.04,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00005_p16_s1_c80.91,99.95479619565218,0.08310010535761203,1104,100.0,1105,691,1320,839,529.0,894,660.0,1041,679.0,1079,685.0,1096,688.0,1102,690.0,1104,690.0,1104,690.0,1104,690.0,1104,690.0,1104,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00005_p16_s1_c80.91,AG-894-C14_gnd00005_p16_s1_c80.91,AG-894-C14_gnd00000_p0_s0_c99.37,0.9995467684729064,0.9999618154314612,0.8332090719070426,0.05,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00005_p16_s4_c80.65,99.95403978300182,0.08400155271969656,1106,100.0,1113,720,1320,839,540.0,889,679.0,1040,701.0,1079,709.0,1098,712.0,1104,713.0,1106,713.0,1106,713.0,1106,713.0,1106,713.0,1106,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00005_p16_s4_c80.65,AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00005_p16_s4_c80.65,0.9995476830491477,0.831621652759262,0.9999627493709056,0.05,"(0.99, 1.0]"
AG-894-C14_gnd00000_p0_s0_c99.37,AG-894-C14_gnd00005_p17_s3_c79.56,99.95504638218924,0.08301539542918603,1078,100.0,1078,690,1320,839,526.0,872,658.0,1017,677.0,1056,684.0,1070,686.0,1075,688.0,1078,688.0,1078,688.0,1078,688.0,1078,688.0,1078,AG-894-C14_gnd00000_p0_s0_c99.37_AG-894-C14_gnd00005_p17_s3_c79.56,AG-894-C14_gnd00005_p17_s3_c79.56,AG-894-C14_gnd00000_p0_s0_c99.37,0.9995486127744512,0.9999603368197268,0.8199328494544018,0.05,"(0.99, 1.0]"
