qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00005,99.91322597212033,1.0265534764159625,1363,100.0,1362,857,1362,857,671,1095,824,1275,847,1327,855,1344,856,1353,857,1361,857,1361,857,1361,857,1361,857,1361,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00005,AG-390-N04_a22_gnd00005,AG-390-N04_a22_gnd00000,0.9995552072343676,0.9999433287076632,0.9999433287076632,0.04,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00010,99.8693301540719,1.030949867616236,1363,99.942,1362,857,1362,857,520,857,730,1136,811,1280,843,1327,851,1342,857,1361,857,1361,857,1361,857,1361,857,1361,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00010,AG-390-N04_a22_gnd00010,AG-390-N04_a22_gnd00000,0.9991148379804148,0.9999388546582684,0.9999388546582684,0.09,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00020,99.77488114453412,1.031163506316406,1363,99.836,1363,857,1362,857,243,458,508,796,676,1079,781,1214,828,1291,857,1359,857,1361,857,1361,857,1361,857,1361,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00020,AG-390-N04_a22_gnd00020,AG-390-N04_a22_gnd00000,0.9982243255463502,0.9999328892590752,0.9999328892590752,0.18,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00030,99.68657740278796,1.0298992632060786,1363,99.746,1363,857,1362,857,116,271,329,518,508,820,669,1047,751,1186,857,1351,857,1359,857,1360,857,1360,857,1361,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00030,AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00030,0.9973330896759608,0.9999343806088734,0.9999343806088734,0.27,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00040,99.59447063142437,1.0450420187528542,1362,99.6505,1361,857,1362,857,58,177,184,320,342,570,497,801,617,1005,846,1335,857,1359,857,1360,857,1360,857,1360,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00040,AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00040,0.9964313865862804,0.9999254325100834,0.9999254325100834,0.36,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00050,99.50387885462555,1.0560929405373916,1362,99.56649999999999,1362,857,1362,857,39,134,126,231,231,410,386,609,508,815,827,1301,854,1354,857,1359,857,1360,857,1360,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00050,AG-390-N04_a22_gnd00050,AG-390-N04_a22_gnd00000,0.995553104747544,0.9999254325100834,0.9999254325100834,0.44,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00060,99.41417033773862,1.058558168636099,1362,99.4765,1361,857,1362,857,16,110,76,172,151,304,276,459,395,646,798,1238,855,1345,857,1357,857,1360,857,1360,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00060,AG-390-N04_a22_gnd00060,AG-390-N04_a22_gnd00000,0.994685508666156,0.9999135017116968,0.9999135017116968,0.53,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00070,99.33802571638502,0.8039461909945526,1361,99.383,1361,857,1362,857,8,83,54,130,102,213,185,330,290,482,753,1175,848,1331,857,1358,857,1360,857,1360,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00070,AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00070,0.9937634513941148,0.9999075363125034,0.9999075363125034,0.62,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00080,99.22300733675715,1.0711836111863242,1363,99.272,1364,857,1362,857,10,71,26,89,58,152,113,223,190,358,686,1070,837,1318,855,1354,857,1360,857,1361,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00080,AG-390-N04_a22_gnd00080,AG-390-N04_a22_gnd00000,0.992896051243401,0.9999142473865958,0.9999142473865958,0.71,"(0.99, 1.0]"
AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00090,99.13719075568599,1.0827090799647552,1363,99.188,1364,857,1362,857,4,67,22,85,38,118,82,183,126,263,602,947,818,1289,853,1349,857,1360,857,1361,AG-390-N04_a22_gnd00000_AG-390-N04_a22_gnd00090,AG-390-N04_a22_gnd00000,AG-390-N04_a22_gnd00090,0.9920024415975844,0.9998933684894192,0.9998933684894192,0.8,"(0.99, 1.0]"
