qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p11_s4_c83.03,99.95622786885245,1.0806484019059122,1220,100.0,1219,762,1362,857,761.0,1218,761.0,1218,761.0,1218,761.0,1218,761.0,1218,761.0,1218,761.0,1218,761.0,1218,761.0,1218,761.0,1218,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00000_p11_s4_c83.03,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p11_s4_c83.03,1.0,0.8818127655068688,0.9999078164138742,0.0,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p20_s1_c64.35,99.95123105022832,1.1406092780516892,1095,100.0,1094,692,1362,857,691.0,1093,691.0,1093,691.0,1093,691.0,1093,691.0,1093,691.0,1093,691.0,1093,691.0,1093,691.0,1093,691.0,1093,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00000_p20_s1_c64.35,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p20_s1_c64.35,1.0,0.7949438767787143,0.999897476715564,0.0,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p4_s2_c85.23,99.95892153846154,1.0468962257382117,1300,100.0,1299,813,1362,857,812.0,1298,812.0,1298,812.0,1298,812.0,1298,812.0,1298,812.0,1298,812.0,1298,812.0,1298,812.0,1298,812.0,1298,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00000_p4_s2_c85.23,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p4_s2_c85.23,1.0,0.9529702841095932,0.999943311361956,0.0,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p4_s5_c84.13,100.0,0.0,1307,100.0,1308,828,1362,857,824.0,1307,824.0,1307,824.0,1307,824.0,1307,824.0,1307,824.0,1307,824.0,1307,824.0,1307,824.0,1307,824.0,1307,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00000_p4_s5_c84.13,AG-390-N04_gnd00000_p4_s5_c84.13,AG-390-N04_gnd00000_p0_s0_c87.43,1.0,0.9999378424009616,0.9544482117597406,0.0,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p8_s3_c83.03,99.95703781174578,1.070611904293903,1243,100.0,1242,770,1362,857,770.0,1241,770.0,1241,770.0,1241,770.0,1241,770.0,1241,770.0,1241,770.0,1241,770.0,1241,770.0,1241,770.0,1241,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00000_p8_s3_c83.03,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00000_p8_s3_c83.03,1.0,0.9136128172567068,0.9999230061635592,0.0,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p0_s0_c87.43,99.91385399853266,1.0263845517760846,1363,100.0,1362,857,1362,857,660.0,1092,809.0,1264,841.0,1328,854.0,1348,857.0,1357,857.0,1361,857.0,1361,857.0,1361,857.0,1361,857.0,1361,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00005_p0_s0_c87.43,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p0_s0_c87.43,0.9995564280331576,0.999941837357865,0.999941837357865,0.04,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p0_s5_c87.43,99.91385399853266,1.0263845517760846,1363,100.0,1362,857,1362,857,660.0,1092,809.0,1264,841.0,1328,854.0,1348,857.0,1357,857.0,1361,857.0,1361,857.0,1361,857.0,1361,857.0,1361,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00005_p0_s5_c87.43,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p0_s5_c87.43,0.9995564280331576,0.999941837357865,0.999941837357865,0.04,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p13_s1_c84.13,99.90720547945205,1.1081741913121939,1168,100.0,1168,743,1362,857,573.0,933,698.0,1080,726.0,1136,738.0,1155,741.0,1162,741.0,1166,741.0,1166,741.0,1166,741.0,1166,741.0,1166,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00005_p13_s1_c84.13,AG-390-N04_gnd00005_p13_s1_c84.13,AG-390-N04_gnd00000_p0_s0_c87.43,0.999558521066208,0.999882584746816,0.8651297809878253,0.04,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p14_s3_c72.14,99.90569015280137,1.103580262913118,1178,100.0,1177,745,1362,857,562.0,933,700.0,1090,727.0,1144,739.0,1163,742.0,1172,742.0,1176,742.0,1176,742.0,1176,742.0,1176,742.0,1176,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00005_p14_s3_c72.14,AG-390-N04_gnd00005_p14_s3_c72.14,AG-390-N04_gnd00000_p0_s0_c87.43,0.9995420208152648,0.9999592440552684,0.8528119773285003,0.05,"(0.99, 1.0]"
AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p17_s4_c66.55,99.90611801242237,1.1281043851624233,1127,100.0,1127,704,1362,857,544.0,912,660.0,1045,684.0,1093,696.0,1114,699.0,1121,699.0,1125,699.0,1125,699.0,1125,699.0,1125,699.0,1125,AG-390-N04_gnd00000_p0_s0_c87.43_AG-390-N04_gnd00005_p17_s4_c66.55,AG-390-N04_gnd00000_p0_s0_c87.43,AG-390-N04_gnd00005_p17_s4_c66.55,0.999576,0.8222370694379922,0.999902019389374,0.04,"(0.99, 1.0]"
