qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00000_p10_s5_c93.54,100.0,0.0,1232,100.0,1233,798,1387,896,797.0,1232,797.0,1232,797.0,1232,797.0,1232,797.0,1232,797.0,1232,797.0,1232,797.0,1232,797.0,1232,797.0,1232,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00000_p10_s5_c93.54,AH-287-F15_gnd00000_p10_s5_c93.54,AH-287-F15_gnd00000_p0_s0_c98.36,1.0,0.9999840380801004,0.8937319073353237,0.0,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00000_p11_s4_c89.92,100.0,0.0,1223,100.0,1228,780,1387,896,778.0,1223,778.0,1223,778.0,1223,778.0,1223,778.0,1223,778.0,1223,778.0,1223,778.0,1223,778.0,1223,778.0,1223,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00000_p11_s4_c89.92,AH-287-F15_gnd00000_p11_s4_c89.92,AH-287-F15_gnd00000_p0_s0_c98.36,1.0,0.9999813114121862,0.8825788896867087,0.0,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00000_p16_s2_c86.31,100.0,0.0,1167,100.0,1169,750,1387,896,748.0,1167,748.0,1167,748.0,1167,748.0,1167,748.0,1167,748.0,1167,748.0,1167,748.0,1167,748.0,1167,748.0,1167,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00000_p16_s2_c86.31,AH-287-F15_gnd00000_p16_s2_c86.31,AH-287-F15_gnd00000_p0_s0_c98.36,1.0,1.0,0.8344877366690602,0.0,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00000_p18_s1_c77.88,100.0,0.0,1126,100.0,1129,724,1387,896,723.0,1126,723.0,1126,723.0,1126,723.0,1126,723.0,1126,723.0,1126,723.0,1126,723.0,1126,723.0,1126,723.0,1126,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00000_p18_s1_c77.88,AH-287-F15_gnd00000_p18_s1_c77.88,AH-287-F15_gnd00000_p0_s0_c98.36,1.0,0.9999705064775148,0.8144748875703866,0.0,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00000_p2_s3_c93.93,100.0,0.0,1350,100.0,1354,874,1387,896,871.0,1350,871.0,1350,871.0,1350,871.0,1350,871.0,1350,871.0,1350,871.0,1350,871.0,1350,871.0,1350,871.0,1350,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00000_p2_s3_c93.93,AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00000_p2_s3_c93.93,1.0,0.9718982653716792,0.9999622089413644,0.0,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p0_s0_c98.36,99.95501300578036,0.08634799761790166,1384,100.0,1387,896,1387,896,705.0,1127,848.0,1291,881.0,1351,894.0,1372,895.0,1379,896.0,1384,896.0,1384,896.0,1384,896.0,1384,896.0,1384,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00005_p0_s0_c98.36,AH-287-F15_gnd00005_p0_s0_c98.36,AH-287-F15_gnd00000_p0_s0_c98.36,0.9995547505755948,0.9999727901439854,0.9999727901439854,0.04,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p0_s2_c98.36,99.95501300578036,0.08634799761790166,1384,100.0,1387,896,1387,896,705.0,1127,848.0,1291,881.0,1351,894.0,1372,895.0,1379,896.0,1384,896.0,1384,896.0,1384,896.0,1384,896.0,1384,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00005_p0_s2_c98.36,AH-287-F15_gnd00005_p0_s2_c98.36,AH-287-F15_gnd00000_p0_s0_c98.36,0.9995547505755948,0.9999727901439854,0.9999727901439854,0.04,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p12_s3_c89.92,99.95418570254725,0.08986219361593048,1217,100.0,1220,780,1387,896,619.0,992,736.0,1129,765.0,1185,778.0,1205,779.0,1211,780.0,1217,780.0,1217,780.0,1217,780.0,1217,780.0,1217,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00005_p12_s3_c89.92,AH-287-F15_gnd00005_p12_s3_c89.92,AH-287-F15_gnd00000_p0_s0_c98.36,0.9995583491789112,0.999991410595031,0.8736669060126223,0.04,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p18_s4_c81.49,99.956824204947,0.08454326249460303,1132,100.0,1135,724,1387,896,569.0,927,683.0,1061,709.0,1107,718.0,1122,719.0,1128,720.0,1132,720.0,1132,720.0,1132,720.0,1132,720.0,1132,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00005_p18_s4_c81.49,AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p18_s4_c81.49,0.9995570028275214,0.8122164695211821,0.999997234536218,0.04,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p19_s1_c83.63,99.95664758497317,0.0831651997308133,1118,100.0,1123,724,1387,896,569.0,910,684.0,1043,713.0,1097,720.0,1111,721.0,1115,721.0,1118,721.0,1118,721.0,1118,721.0,1118,721.0,1118,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00005_p19_s1_c83.63,AH-287-F15_gnd00005_p19_s1_c83.63,AH-287-F15_gnd00000_p0_s0_c98.36,0.9995749437148216,0.9999897422220398,0.8037118778579797,0.04,"(0.99, 1.0]"
AH-287-F15_gnd00000_p0_s0_c98.36,AH-287-F15_gnd00005_p19_s5_c78.48,99.95491534391535,0.08794189825994385,1134,100.0,1138,721,1387,896,562.0,923,678.0,1056,705.0,1106,715.0,1123,716.0,1129,717.0,1134,717.0,1134,717.0,1134,717.0,1134,717.0,1134,AH-287-F15_gnd00000_p0_s0_c98.36_AH-287-F15_gnd00005_p19_s5_c78.48,AH-287-F15_gnd00005_p19_s5_c78.48,AH-287-F15_gnd00000_p0_s0_c98.36,0.999555855263158,0.9999887998999458,0.8027066248441102,0.04,"(0.99, 1.0]"
