qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p10_s5_c92.17,99.99082965578111,0.21816932292613328,1133,100.0,1131,711,1241,778,708.0,1131,708.0,1131,708.0,1131,708.0,1131,708.0,1131,708.0,1131,708.0,1131,708.0,1131,708.0,1131,708.0,1131,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00000_p10_s5_c92.17,AG-426-E17_gnd00000_p10_s5_c92.17,AG-426-E17_gnd00000_p0_s0_c100.0,1.0,1.0,0.8928561189641976,0.0,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p3_s3_c94.47,99.99137043189369,0.21164437303619668,1204,100.0,1202,748,1241,778,747.0,1202,747.0,1202,747.0,1202,747.0,1202,747.0,1202,747.0,1202,747.0,1202,747.0,1202,747.0,1202,747.0,1202,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00000_p3_s3_c94.47,AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p3_s3_c94.47,1.0,0.9639370011702164,1.0,0.0,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p5_s1_c93.76,99.99555603079554,0.15194216010412845,1169,100.0,1168,728,1241,778,725.0,1168,725.0,1168,725.0,1168,725.0,1168,725.0,1168,725.0,1168,725.0,1168,725.0,1168,725.0,1168,725.0,1168,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00000_p5_s1_c93.76,AG-426-E17_gnd00000_p5_s1_c93.76,AG-426-E17_gnd00000_p0_s0_c100.0,1.0,0.9999652546650184,0.9433126945474164,0.0,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p7_s4_c93.98,99.99090192644483,0.21730869373980596,1142,100.0,1140,713,1241,778,708.0,1140,708.0,1140,708.0,1140,708.0,1140,708.0,1140,708.0,1140,708.0,1140,708.0,1140,708.0,1140,708.0,1140,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00000_p7_s4_c93.98,AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p7_s4_c93.98,1.0,0.921258412831898,1.0,0.0,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00000_p9_s2_c87.29,99.9907890070922,0.21865189073054594,1128,100.0,1126,701,1241,778,701.0,1126,701.0,1126,701.0,1126,701.0,1126,701.0,1126,701.0,1126,701.0,1126,701.0,1126,701.0,1126,701.0,1126,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00000_p9_s2_c87.29,AG-426-E17_gnd00000_p9_s2_c87.29,AG-426-E17_gnd00000_p0_s0_c100.0,1.0,1.0,0.9030423024162756,0.0,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p0_s0_c100.0,99.94403700724054,0.22479455694535838,1243,100.0,1241,778,1241,778,607.0,998,743.0,1156,768.0,1208,776.0,1225,777.0,1237,777.0,1241,777.0,1241,777.0,1241,777.0,1241,777.0,1241,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00005_p0_s0_c100.0,AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p0_s0_c100.0,0.9995372060123784,0.999996524969398,0.999996524969398,0.05,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p10_s5_c92.17,99.94246113074205,0.23476054977194066,1132,100.0,1130,711,1241,778,553.0,907,676.0,1048,699.0,1098,707.0,1114,708.0,1126,708.0,1130,708.0,1130,708.0,1130,708.0,1130,708.0,1130,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00005_p10_s5_c92.17,AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p10_s5_c92.17,0.9995391988130564,0.8928526439335956,0.9999990343193256,0.05,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p11_s1_c87.95,99.94446727272728,0.23575537093417462,1100,100.0,1098,691,1241,778,545.0,890,659.0,1024,680.0,1069,687.0,1085,688.0,1096,688.0,1098,688.0,1098,688.0,1098,688.0,1098,688.0,1098,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00005_p11_s1_c87.95,AG-426-E17_gnd00005_p11_s1_c87.95,AG-426-E17_gnd00000_p0_s0_c100.0,0.9995541124260356,0.9999970721995588,0.8842258804641598,0.04,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p18_s2_c81.93,99.94318199608611,0.24417224726753536,1022,100.0,1020,635,1241,778,497.0,822,607.0,952,628.0,998,633.0,1007,634.0,1016,634.0,1020,634.0,1020,634.0,1020,634.0,1020,634.0,1020,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00005_p18_s2_c81.93,AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p18_s2_c81.93,0.9995439413680782,0.8130607287660427,0.9999978821635817,0.05,"(0.99, 1.0]"
AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p19_s3_c87.95,99.94219138276553,0.24659274195939782,998,100.0,996,616,1241,778,477.0,797,588.0,927,607.0,971,613.0,983,614.0,993,614.0,996,614.0,996,614.0,996,614.0,996,614.0,996,AG-426-E17_gnd00000_p0_s0_c100.0_AG-426-E17_gnd00005_p19_s3_c87.95,AG-426-E17_gnd00000_p0_s0_c100.0,AG-426-E17_gnd00005_p19_s3_c87.95,0.9995444933920706,0.8012178244744668,0.9999646076164408,0.05,"(0.99, 1.0]"
