qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00005,99.95219372990353,0.09053750422356446,1244,100.0,1244,746,1243,746,567.0,1000,716.0,1177,735.0,1217,746.0,1233,746.0,1237,746.0,1244,746.0,1244,746.0,1244,746.0,1244,746.0,1244,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00005,AG-908-A02_a5_gnd00005,AG-908-A02_a5_gnd00000,0.9995686178247776,0.99999167493497,0.99999167493497,0.04,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00010,99.90822347266881,0.12506190220938704,1244,99.9615,1243,746,1243,746,421.0,768,631.0,1046,703.0,1168,732.0,1208,742.0,1228,746.0,1243,746.0,1244,746.0,1244,746.0,1244,746.0,1244,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00010,AG-908-A02_a5_gnd00010,AG-908-A02_a5_gnd00000,0.9991420166163204,0.999987133990408,0.999987133990408,0.09,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00020,99.81691713596139,0.18567599102555093,1243,99.851,1242,746,1243,746,259.0,478,458.0,758,572.0,963,661.0,1094,702.0,1164,746.0,1239,746.0,1243,746.0,1243,746.0,1243,746.0,1243,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00020,AG-908-A02_a5_gnd00020,AG-908-A02_a5_gnd00000,0.9982594184290068,0.9999833498699398,0.9999833498699398,0.17,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00030,99.72571232876712,0.24310232861600536,1241,99.77,1244,747,1243,746,150.0,322,320.0,548,432.0,764,550.0,930,615.0,1039,740.0,1223,746.0,1240,746.0,1241,746.0,1241,746.0,1241,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00030,AG-908-A02_a5_gnd00030,AG-908-A02_a5_gnd00000,0.9974074471299096,0.9999757816290034,0.9999757816290034,0.26,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00040,99.62979951690821,0.29862110327247227,1242,99.6765,1243,746,1243,746,85.0,235,209.0,389,318.0,574,441.0,761,510.0,886,720.0,1197,743.0,1237,745.0,1241,746.0,1242,746.0,1242,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00040,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00040,0.9965530211480328,0.9999682133880669,0.9999682133880669,0.34,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00050,99.54812882447665,0.3324523865966583,1242,99.5985,1241,746,1243,746,48.0,176,143.0,293,241.0,460,349.0,619,435.0,770,691.0,1149,742.0,1232,746.0,1241,746.0,1242,746.0,1242,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00050,AG-908-A02_a5_gnd00050,AG-908-A02_a5_gnd00000,0.9956974169184244,0.9999712406844414,0.9999712406844414,0.43,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00060,99.4554753833737,0.3975052015989473,1239,99.512,1240,747,1243,746,39.0,149,105.0,233,168.0,354,270.0,493,351.0,637,653.0,1093,726.0,1210,743.0,1234,746.0,1238,746.0,1239,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00060,AG-908-A02_a5_gnd00060,AG-908-A02_a5_gnd00000,0.9948089879154038,0.9999545905543812,0.9999545905543812,0.52,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00070,99.3590741337631,0.43698256699162696,1241,99.427,1243,746,1243,746,28.0,120,74.0,169,120.0,265,207.0,392,275.0,515,603.0,1013,720.0,1201,741.0,1229,745.0,1238,745.0,1238,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00070,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00070,0.9939720241691778,0.999961401971224,0.999961401971224,0.6,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00080,99.25445117029862,0.49550321413155773,1239,99.314,1244,745,1243,746,13.0,89,45.0,129,104.0,227,167.0,326,220.0,413,543.0,911,691.0,1153,733.0,1219,742.0,1232,743.0,1235,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00080,AG-908-A02_a5_gnd00080,AG-908-A02_a5_gnd00000,0.9930672885196328,0.999953076906194,0.999953076906194,0.69,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd00090,99.18181723027375,0.5187513036099229,1242,99.23949999999999,1243,747,1243,746,9.0,87,33.0,116,80.0,194,136.0,274,196.0,377,475.0,828,663.0,1114,730.0,1213,744.0,1238,745.0,1240,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd00090,AG-908-A02_a5_gnd00090,AG-908-A02_a5_gnd00000,0.9922323564954652,0.9999424813688828,0.9999424813688828,0.78,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd001,99.07005716586151,0.5580232312589473,1242,99.1465,1243,745,1243,746,7.0,61,25.0,83,48.0,128,92.0,190,146.0,275,449.0,745,646.0,1057,718.0,1188,734.0,1226,743.0,1239,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd001,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd001,0.9913642296072456,0.9999265880629165,0.9999265880629165,0.86,"(0.99, 1.0]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd002,98.14561693548387,1.001277782926902,1240,98.27,1246,745,1243,746,0.0,38,2.0,40,8.0,50,14.0,61,20.0,76,111.0,226,269.0,495,433.0,762,568.0,954,649.0,1087,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd002,AG-908-A02_a5_gnd002,AG-908-A02_a5_gnd00000,0.9827217069486388,0.9998728535522674,0.9998728535522674,1.73,"(0.98, 0.99]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd003,97.24366182405166,1.468849030498928,1239,97.45,1247,747,1243,746,0.0,39,0.0,39,0.0,40,2.0,42,4.0,45,30.0,101,99.0,216,216.0,406,335.0,595,455.0,766,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd003,AG-908-A02_a5_gnd003,AG-908-A02_a5_gnd00000,0.9741369939577048,0.9997699254755316,0.9997699254755316,2.59,"(0.97, 0.98]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd004,96.33766965742251,1.8346540233729547,1226,96.5745,1243,744,1243,746,0.0,33,0.0,33,0.0,34,0.0,35,1.0,36,10.0,53,37.0,110,98.0,210,171.0,328,278.0,493,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd004,AG-908-A02_a5_gnd004,AG-908-A02_a5_gnd00000,0.9653862386706962,0.9997373820395048,0.9997373820395048,3.46,"(0.96, 0.97]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd005,95.43951302931596,2.2843167742980537,1228,95.699,1246,749,1243,746,0.0,32,0.0,32,0.0,32,0.0,33,0.0,35,2.0,45,17.0,78,48.0,130,88.0,204,165.0,314,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd005,AG-908-A02_a5_gnd005,AG-908-A02_a5_gnd00000,0.956862968277947,0.9996541313892036,0.999657915509672,4.31,"(0.95, 0.96]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd006,94.54232244897959,2.6638783031660735,1225,94.904,1247,746,1243,746,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,1.0,39,4.0,45,20.0,79,50.0,137,95.0,211,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd006,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd006,0.9481131042296072,0.999518659876441,0.999518659876441,5.19,"(0.94, 0.95]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd007,93.69627906976744,3.006675448961637,1204,93.98400000000001,1246,746,1243,746,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,35,3.0,44,7.0,57,29.0,90,55.0,135,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd007,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd007,0.9395628625377648,0.9993945407250828,0.9994013521419256,6.04,"(0.93, 0.94]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd008,92.97721520068318,3.2256994248209323,1171,93.333,1248,747,1243,746,0.0,34,0.0,34,0.0,34,0.0,34,0.0,34,0.0,35,1.0,41,6.0,52,14.0,65,31.0,96,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd008,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd008,0.9309356268882192,0.9992204711835442,0.9992227416558253,6.91,"(0.93, 0.94]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd009,92.16094275802254,3.497858896711505,1153,92.325,1251,748,1243,746,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,33,0.0,34,1.0,39,8.0,54,13.0,70,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd009,AG-908-A02_a5_gnd009,AG-908-A02_a5_gnd00000,0.9222786782477358,0.9990940815599052,0.9990993793285609,7.77,"(0.92, 0.93]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd010,91.4202033898305,3.7700023360672836,1121,91.787,1247,745,1243,746,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,1.0,33,1.0,35,3.0,42,8.0,51,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd010,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd010,0.9136981873111798,0.99902445374329,0.999023696919196,8.63,"(0.91, 0.92]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd011,90.90732831608655,3.8630922691369927,1063,91.05,1249,747,1243,746,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,33,2.0,37,7.0,47,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd011,AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd011,0.9051239123867072,0.9987186968094568,0.9987133990408013,9.49,"(0.9, 0.91]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd012,90.44206626506023,3.9932039429858706,996,90.618,1247,747,1243,746,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,33,1.0,34,2.0,38,3.0,47,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd012,AG-908-A02_a5_gnd012,AG-908-A02_a5_gnd00000,0.8965103625377645,0.998360719013162,0.998360719013162,10.35,"(0.89, 0.9]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd013,89.70432440782699,4.308636600057159,971,89.86,1246,748,1243,746,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,34,3.0,40,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd013,AG-908-A02_a5_gnd013,AG-908-A02_a5_gnd00000,0.8879759894259834,0.997934627048439,0.9979353838725328,11.2,"(0.88, 0.89]"
AG-908-A02_a5_gnd00000,AG-908-A02_a5_gnd014,89.44958192090397,4.354905209771865,885,89.454,1249,746,1243,746,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,0.0,34,0.0,34,0.0,34,1.0,39,AG-908-A02_a5_gnd00000_AG-908-A02_a5_gnd014,AG-908-A02_a5_gnd014,AG-908-A02_a5_gnd00000,0.8796999470899478,0.9966018598195278,0.9966192667736816,12.03,"(0.87, 0.88]"
