qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00005,99.9472038678485,0.2226288960127741,1241,100.0,1239,778,1241,778,612.0,1017,749.0,1168,768.0,1216,776.0,1230,776.0,1234,776.0,1239,776.0,1239,776.0,1239,776.0,1239,776.0,1239,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00005,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00005,0.9995537577365204,0.999998262484699,0.999998262484699,0.04,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00010,99.90058326629124,0.23821614316219986,1243,99.949,1241,778,1241,778,445.0,774,665.0,1046,739.0,1169,767.0,1207,774.0,1228,778.0,1240,778.0,1241,778.0,1241,778.0,1241,778.0,1241,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00010,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00010,0.9990970291777236,0.999993049938796,0.999993049938796,0.09,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00020,99.81056682769726,0.26419592477296316,1242,99.841,1240,778,1241,778,217.0,427,473.0,746,616.0,983,707.0,1113,748.0,1186,777.0,1238,777.0,1240,777.0,1240,777.0,1240,777.0,1240,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00020,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00020,0.9981945004420918,0.999989574908194,0.999989574908194,0.18,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00030,99.71416357775988,0.2952710179262248,1241,99.748,1239,778,1241,778,115.0,264,302.0,490,453.0,743,594.0,939,668.0,1062,776.0,1230,776.0,1239,776.0,1239,776.0,1239,776.0,1239,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00030,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00030,0.9973041114058352,0.9999800185740386,0.9999800185740386,0.27,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00040,99.62322445695898,0.3225638664949992,1243,99.652,1241,780,1241,778,58.0,181,191.0,333,309.0,526,472.0,751,576.0,923,769.0,1219,778.0,1240,778.0,1241,778.0,1241,778.0,1241,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00040,AG-426-E17_a22_gnd00040,AG-426-E17_a22_gnd00000,0.9963716091953964,0.9999800185740386,0.9999800185740386,0.36,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00050,99.53898230088495,0.34771952670465317,1243,99.567,1241,778,1241,778,39.0,140,119.0,234,204.0,375,334.0,553,455.0,748,756.0,1191,777.0,1237,777.0,1240,777.0,1241,777.0,1241,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00050,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00050,0.9955159858532204,0.9999635121786792,0.9999635121786792,0.45,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00060,99.44446457326892,0.3704547012658181,1242,99.481,1241,777,1241,778,20.0,106,58.0,148,122.0,255,238.0,406,348.0,581,723.0,1138,775.0,1233,776.0,1238,776.0,1240,776.0,1240,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00060,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00060,0.9945718037135204,0.9999626434210286,0.9999626434210286,0.54,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00070,99.34710144927537,0.413650856152437,1242,99.371,1241,777,1241,778,13.0,83,43.0,114,91.0,191,170.0,294,264.0,441,668.0,1061,765.0,1217,775.0,1234,776.0,1239,776.0,1239,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00070,AG-426-E17_a22_gnd00070,AG-426-E17_a22_gnd00000,0.9936652166224512,0.9999626434210286,0.9999626434210286,0.63,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00080,99.2718493150685,0.43744181624339573,1241,99.306,1239,779,1241,778,5.0,75,24.0,95,62.0,158,131.0,253,186.0,350,617.0,989,755.0,1194,777.0,1234,777.0,1237,777.0,1238,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00080,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00080,0.992826648983196,0.9999252868420572,0.9999252868420572,0.72,"(0.99, 1.0]"
AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00090,99.17202173913043,0.4575609640125666,1242,99.216,1240,778,1241,778,3.0,63,16.0,76,39.0,114,79.0,176,119.0,253,523.0,860,733.0,1156,773.0,1228,777.0,1237,777.0,1240,AG-426-E17_a22_gnd00000_AG-426-E17_a22_gnd00090,AG-426-E17_a22_gnd00000,AG-426-E17_a22_gnd00090,0.991864252873559,0.9999530870868732,0.9999530870868732,0.81,"(0.99, 1.0]"
