qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p10_s5_c86.04,100.0,0.0,1075,100.0,1076,669,1188,737,666.0,1075,666.0,1075,666.0,1075,666.0,1075,666.0,1075,666.0,1075,666.0,1075,666.0,1075,666.0,1075,666.0,1075,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00000_p10_s5_c86.04,AG-917-F18_gnd00000_p10_s5_c86.04,AG-917-F18_gnd00000_p0_s0_c97.59,1.0,0.9999639618489836,0.8911620089889181,0.0,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p19_s2_c89.16,100.0,0.0,953,100.0,954,588,1188,737,587.0,953,587.0,953,587.0,953,587.0,953,587.0,953,587.0,953,587.0,953,587.0,953,587.0,953,587.0,953,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00000_p19_s2_c89.16,AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p19_s2_c89.16,1.0,0.8030229892831565,0.999972542056417,0.0,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p19_s3_c68.02,100.0,0.0,940,100.0,941,587,1188,737,584.0,940,584.0,940,584.0,940,584.0,940,584.0,940,584.0,940,584.0,940,584.0,940,584.0,940,584.0,940,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00000_p19_s3_c68.02,AG-917-F18_gnd00000_p19_s3_c68.02,AG-917-F18_gnd00000_p0_s0_c97.59,1.0,0.9999965679337474,0.8033620888533524,0.0,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p20_s1_c72.89,100.0,0.0,938,100.0,939,580,1188,737,579.0,938,579.0,938,579.0,938,579.0,938,579.0,938,579.0,938,579.0,938,579.0,938,579.0,938,579.0,938,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00000_p20_s1_c72.89,AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p20_s1_c72.89,1.0,0.7921773620462342,0.999953669116412,0.0,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00000_p8_s4_c92.33,100.0,0.0,1089,100.0,1090,673,1188,737,672.0,1089,672.0,1089,672.0,1089,672.0,1089,672.0,1089,672.0,1089,672.0,1089,672.0,1089,672.0,1089,672.0,1089,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00000_p8_s4_c92.33,AG-917-F18_gnd00000_p8_s4_c92.33,AG-917-F18_gnd00000_p0_s0_c97.59,1.0,1.0,0.9100848768077204,0.0,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00005_p0_s0_c97.59,99.95324494949494,0.09641588744981429,1188,100.0,1188,737,1188,737,588.0,973,710.0,1115,726.0,1154,736.0,1173,736.0,1179,737.0,1187,737.0,1188,737.0,1188,737.0,1188,737.0,1188,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00005_p0_s0_c97.59,AG-917-F18_gnd00005_p0_s0_c97.59,AG-917-F18_gnd00000_p0_s0_c97.59,0.999552122065728,0.9999981469968842,0.9999981469968842,0.04,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00005_p11_s1_c86.75,99.9529933460076,0.0979180270061154,1052,100.0,1052,651,1188,737,519.0,863,625.0,988,638.0,1021,646.0,1038,646.0,1043,647.0,1051,647.0,1052,647.0,1052,647.0,1052,647.0,1052,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00005_p11_s1_c86.75,AG-917-F18_gnd00005_p11_s1_c86.75,AG-917-F18_gnd00000_p0_s0_c97.59,0.9995579562043796,0.9999708497607076,0.8798077323967021,0.04,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00005_p11_s3_c79.43,99.95279961832061,0.09728210005575542,1048,100.0,1049,646,1188,737,508.0,857,616.0,981,632.0,1019,640.0,1035,640.0,1040,641.0,1047,641.0,1048,641.0,1048,641.0,1048,641.0,1048,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00005_p11_s3_c79.43,AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00005_p11_s3_c79.43,0.9995578980891722,0.8819998350827227,0.999998958576332,0.04,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00005_p13_s4_c85.53,99.95404501915709,0.09685528482020167,1044,100.0,1046,644,1188,737,518.0,862,623.0,983,635.0,1016,641.0,1030,641.0,1035,642.0,1043,642.0,1044,642.0,1044,642.0,1044,642.0,1044,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00005_p13_s4_c85.53,AG-917-F18_gnd00005_p13_s4_c85.53,AG-917-F18_gnd00000_p0_s0_c97.59,0.9995600640341517,0.9999648498288826,0.8612091401231691,0.04,"(0.99, 1.0]"
AG-917-F18_gnd00000_p0_s0_c97.59,AG-917-F18_gnd00005_p14_s5_c72.24,99.95366371681416,0.09760415893640835,1017,100.0,1018,626,1188,737,500.0,834,601.0,953,615.0,986,624.0,1004,624.0,1010,625.0,1016,625.0,1017,625.0,1017,625.0,1017,625.0,1017,AG-917-F18_gnd00000_p0_s0_c97.59_AG-917-F18_gnd00005_p14_s5_c72.24,AG-917-F18_gnd00005_p14_s5_c72.24,AG-917-F18_gnd00000_p0_s0_c97.59,0.9995576051779936,0.9999989223928912,0.8518153408274955,0.04,"(0.99, 1.0]"
