qsag,ssag,mean_pident,stdev_pident,total_hits,median_pident,sgene_count,sgene_count_500-1500bp,qgene_count,qgene_count_500-1500bp,99.9_pid_500-1500bp_orthologs,99.9_pid_orthologs,99.8_pid_500-1500bp_orthologs,99.8_pid_orthologs,99.7_pid_500-1500bp_orthologs,99.7_pid_orthologs,99.6_pid_500-1500bp_orthologs,99.6_pid_orthologs,99.5_pid_500-1500bp_orthologs,99.5_pid_orthologs,99_pid_500-1500bp_orthologs,99_pid_orthologs,98.5_pid_500-1500bp_orthologs,98.5_pid_orthologs,98_pid_500-1500bp_orthologs,98_pid_orthologs,97.5_pid_500-1500bp_orthologs,97.5_pid_orthologs,97_pid_500-1500bp_orthologs,97_pid_orthologs,pair,Genome A,Genome B,ani,ani_aln_cov_ab,ani_aln_cov_ba,GND,ani_bin
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p13_s3_c63.97,100.0,0.0,1100,100.0,1101,664,1243,746,661.0,1100,661.0,1100,661.0,1100,661.0,1100,661.0,1100,661.0,1100,661.0,1100,661.0,1100,661.0,1100,661.0,1100,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00000_p13_s3_c63.97,AG-908-A02_gnd00000_p13_s3_c63.97,AG-908-A02_gnd00000_p0_s0_c80.15,1.0,0.999992169861798,0.8630118117536295,0.0,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p14_s4_c68.52,100.0,0.0,1080,100.0,1081,643,1243,746,640.0,1080,640.0,1080,640.0,1080,640.0,1080,640.0,1080,640.0,1080,640.0,1080,640.0,1080,640.0,1080,640.0,1080,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00000_p14_s4_c68.52,AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p14_s4_c68.52,1.0,0.8522891279948476,0.9999603788137592,0.0,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p18_s5_c66.58,100.0,0.0,1017,100.0,1017,608,1243,746,604.0,1017,604.0,1017,604.0,1017,604.0,1017,604.0,1017,604.0,1017,604.0,1017,604.0,1017,604.0,1017,604.0,1017,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00000_p18_s5_c66.58,AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p18_s5_c66.58,1.0,0.8152282089530777,0.9999594172314435,0.0,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p20_s1_c62.01,100.0,0.0,985,100.0,985,597,1243,746,595.0,985,595.0,985,595.0,985,595.0,985,595.0,985,595.0,985,595.0,985,595.0,985,595.0,985,595.0,985,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00000_p20_s1_c62.01,AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p20_s1_c62.01,1.0,0.7937843550837009,0.9999914874619772,0.0,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p6_s2_c73.53,100.0,0.0,1169,100.0,1169,697,1243,746,696.0,1169,696.0,1169,696.0,1169,696.0,1169,696.0,1169,696.0,1169,696.0,1169,696.0,1169,696.0,1169,696.0,1169,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00000_p6_s2_c73.53,AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00000_p6_s2_c73.53,1.0,0.934356105413487,0.9999814874883592,0.0,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00005_p0_s0_c80.15,99.95219372990353,0.09053750422356446,1244,100.0,1244,746,1243,746,567.0,1000,716.0,1177,735.0,1217,746.0,1233,746.0,1237,746.0,1244,746.0,1244,746.0,1244,746.0,1244,746.0,1244,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00005_p0_s0_c80.15,AG-908-A02_gnd00005_p0_s0_c80.15,AG-908-A02_gnd00000_p0_s0_c80.15,0.9995686178247736,0.99999167493497,0.99999167493497,0.04,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00005_p11_s1_c68.38,99.95059279778393,0.09406757817740069,1083,100.0,1086,635,1243,746,482.0,868,607.0,1018,625.0,1057,633.0,1072,633.0,1076,633.0,1083,633.0,1083,633.0,1083,633.0,1083,633.0,1083,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00005_p11_s1_c68.38,AG-908-A02_gnd00005_p11_s1_c68.38,AG-908-A02_gnd00000_p0_s0_c80.15,0.9995722409435552,0.999953227315248,0.8847394746581236,0.04,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00005_p15_s3_c62.3,99.95405555555556,0.08253296672163246,1062,100.0,1063,651,1243,746,485.0,850,623.0,1011,638.0,1041,646.0,1054,646.0,1059,646.0,1062,646.0,1062,646.0,1062,646.0,1062,646.0,1062,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00005_p15_s3_c62.3,AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00005_p15_s3_c62.3,0.9995762010676156,0.8440677478655668,0.9999902057591916,0.04,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00005_p15_s4_c69.99,99.95241509433961,0.0912950439019981,1060,100.0,1061,650,1243,746,491.0,855,617.0,1001,635.0,1037,645.0,1050,645.0,1055,645.0,1060,645.0,1060,645.0,1060,645.0,1060,645.0,1060,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00005_p15_s4_c69.99,AG-908-A02_gnd00005_p15_s4_c69.99,AG-908-A02_gnd00000_p0_s0_c80.15,0.999575057167986,0.9999510033184116,0.8433457376802282,0.04,"(0.99, 1.0]"
AG-908-A02_gnd00000_p0_s0_c80.15,AG-908-A02_gnd00005_p16_s5_c72.06,99.95216318785579,0.09333600897512212,1054,100.0,1055,631,1243,746,484.0,852,605.0,997,620.0,1030,629.0,1043,629.0,1047,629.0,1054,629.0,1054,629.0,1054,629.0,1054,629.0,1054,AG-908-A02_gnd00000_p0_s0_c80.15_AG-908-A02_gnd00005_p16_s5_c72.06,AG-908-A02_gnd00005_p16_s5_c72.06,AG-908-A02_gnd00000_p0_s0_c80.15,0.999569840425532,0.999990089634749,0.8364033902692098,0.04,"(0.99, 1.0]"
